Experiment	bias spectroscopy	
Date	18.08.2023 15:42:08	
User		
X (m)	-194.357E-9	
Y (m)	82.1984E-9	
Z (m)	-157.166E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-700.000E-3	-206.457E-12	274.050E-3	-232.534E-3	-206.457E-12	274.050E-3	-232.534E-3
-696.500E-3	-203.506E-12	284.522E-3	-227.193E-3	-206.278E-12	285.815E-3	-226.749E-3
-693.000E-3	-207.491E-12	298.636E-3	-220.413E-3	-206.505E-12	296.747E-3	-221.190E-3
-689.500E-3	-207.736E-12	309.329E-3	-215.582E-3	-207.092E-12	305.484E-3	-216.029E-3
-686.000E-3	-207.614E-12	313.551E-3	-211.117E-3	-207.402E-12	310.660E-3	-211.533E-3
-682.500E-3	-206.981E-12	313.415E-3	-207.197E-3	-207.203E-12	312.680E-3	-208.192E-3
-679.000E-3	-206.921E-12	311.806E-3	-204.390E-3	-206.894E-12	314.269E-3	-206.564E-3
-675.500E-3	-207.001E-12	314.040E-3	-205.360E-3	-206.821E-12	318.938E-3	-207.748E-3
-672.000E-3	-205.692E-12	323.972E-3	-209.127E-3	-206.964E-12	329.422E-3	-212.032E-3
-668.500E-3	-208.351E-12	342.219E-3	-218.977E-3	-207.334E-12	346.807E-3	-217.814E-3
-665.000E-3	-207.447E-12	367.327E-3	-226.992E-3	-207.699E-12	371.060E-3	-221.990E-3
-661.500E-3	-208.136E-12	396.948E-3	-226.073E-3	-207.935E-12	400.073E-3	-222.380E-3
-658.000E-3	-208.089E-12	434.545E-3	-218.988E-3	-207.957E-12	428.621E-3	-218.874E-3
-654.500E-3	-207.677E-12	462.770E-3	-213.157E-3	-207.986E-12	450.363E-3	-212.642E-3
-651.000E-3	-208.317E-12	468.571E-3	-207.306E-3	-207.750E-12	462.064E-3	-203.029E-3
-647.500E-3	-207.758E-12	464.995E-3	-195.675E-3	-207.377E-12	465.097E-3	-187.490E-3
-644.000E-3	-206.003E-12	464.198E-3	-169.572E-3	-206.808E-12	463.868E-3	-166.339E-3
-640.500E-3	-206.964E-12	462.252E-3	-135.553E-3	-206.466E-12	462.109E-3	-145.749E-3
-637.000E-3	-205.145E-12	459.306E-3	-119.654E-3	-206.568E-12	460.975E-3	-134.059E-3
-633.500E-3	-207.600E-12	460.348E-3	-128.352E-3	-207.237E-12	459.246E-3	-136.799E-3
-630.000E-3	-207.976E-12	460.912E-3	-146.625E-3	-208.107E-12	455.341E-3	-152.556E-3
-626.500E-3	-209.385E-12	449.593E-3	-176.504E-3	-208.911E-12	449.079E-3	-174.653E-3
-623.000E-3	-209.791E-12	437.802E-3	-202.119E-3	-209.193E-12	442.022E-3	-195.682E-3
-619.500E-3	-209.050E-12	435.242E-3	-217.110E-3	-208.979E-12	436.207E-3	-211.469E-3
-616.000E-3	-208.678E-12	432.931E-3	-222.477E-3	-208.428E-12	432.836E-3	-221.471E-3
-612.500E-3	-207.297E-12	429.007E-3	-227.592E-3	-207.773E-12	431.802E-3	-227.898E-3
-609.000E-3	-207.463E-12	430.627E-3	-234.367E-3	-207.088E-12	431.778E-3	-232.898E-3
-605.500E-3	-206.534E-12	436.054E-3	-237.301E-3	-206.205E-12	430.332E-3	-237.669E-3
-602.000E-3	-205.211E-12	430.568E-3	-241.235E-3	-205.370E-12	424.980E-3	-242.888E-3
-598.500E-3	-203.665E-12	414.976E-3	-248.186E-3	-204.795E-12	414.999E-3	-247.821E-3
-595.000E-3	-204.855E-12	401.874E-3	-256.516E-3	-204.923E-12	402.914E-3	-250.140E-3
-591.500E-3	-205.119E-12	388.826E-3	-252.883E-3	-205.417E-12	392.066E-3	-247.751E-3
-588.000E-3	-207.070E-12	382.370E-3	-240.043E-3	-205.972E-12	383.658E-3	-241.082E-3
-584.500E-3	-205.669E-12	377.727E-3	-231.128E-3	-206.288E-12	377.037E-3	-233.156E-3
-581.000E-3	-206.546E-12	370.556E-3	-224.565E-3	-206.140E-12	371.823E-3	-228.227E-3
-577.500E-3	-206.937E-12	365.801E-3	-222.547E-3	-205.658E-12	368.250E-3	-228.156E-3
-574.000E-3	-203.420E-12	364.971E-3	-232.252E-3	-205.021E-12	366.619E-3	-232.183E-3
