Experiment	bias spectroscopy	
Date	16.08.2023 18:08:54	
User		
X (m)	-668.667E-9	
Y (m)	630.91E-9	
Z (m)	-125.821E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-521.678E-12	4.24336E+0	-68.8577E-3	-521.678E-12	4.24336E+0	-68.8577E-3
-59.4000E-3	-503.386E-12	4.28607E+0	16.7791E-3	-507.824E-12	4.28558E+0	-2.42558E-3
-58.8000E-3	-498.942E-12	4.32761E+0	61.3994E-3	-494.520E-12	4.32508E+0	54.9450E-3
-58.2000E-3	-477.214E-12	4.36952E+0	102.959E-3	-480.528E-12	4.35402E+0	98.0015E-3
-57.6000E-3	-473.205E-12	4.38843E+0	140.355E-3	-466.848E-12	4.36212E+0	121.140E-3
-57.0000E-3	-443.200E-12	4.36292E+0	153.573E-3	-455.906E-12	4.34547E+0	116.616E-3
-56.4000E-3	-445.589E-12	4.30773E+0	98.4821E-3	-449.991E-12	4.31361E+0	83.1705E-3
-55.8000E-3	-454.356E-12	4.26293E+0	17.9511E-3	-445.792E-12	4.28799E+0	35.9794E-3
-55.2000E-3	-443.877E-12	4.25764E+0	-26.6072E-3	-439.860E-12	4.28734E+0	-5.89857E-3
-54.6000E-3	-429.586E-12	4.30363E+0	-32.4302E-3	-429.742E-12	4.31416E+0	-33.9976E-3
-54.0000E-3	-414.278E-12	4.36484E+0	-48.3096E-3	-416.649E-12	4.35644E+0	-51.0547E-3
-53.4000E-3	-408.361E-12	4.40641E+0	-75.5540E-3	-405.172E-12	4.39515E+0	-60.8555E-3
-52.8000E-3	-386.022E-12	4.43845E+0	-70.5269E-3	-393.811E-12	4.40973E+0	-62.9626E-3
-52.2000E-3	-393.352E-12	4.42859E+0	-55.4117E-3	-383.303E-12	4.38723E+0	-54.7853E-3
-51.6000E-3	-364.683E-12	4.34368E+0	-46.3828E-3	-375.387E-12	4.33022E+0	-39.2191E-3
-51.0000E-3	-364.590E-12	4.23937E+0	-16.7772E-3	-371.793E-12	4.25998E+0	-22.9404E-3
-50.4000E-3	-378.671E-12	4.16951E+0	-1.66852E-3	-368.711E-12	4.20633E+0	-6.84809E-3
-49.8000E-3	-370.309E-12	4.16176E+0	-2.62768E-3	-363.465E-12	4.18837E+0	13.7452E-3
-49.2000E-3	-351.006E-12	4.19347E+0	30.6923E-3	-353.721E-12	4.20216E+0	40.3898E-3
-48.6000E-3	-337.917E-12	4.23880E+0	85.5272E-3	-342.895E-12	4.22956E+0	69.7939E-3
