Experiment	bias spectroscopy	
Date	16.08.2023 17:16:36	
User		
X (m)	-669.01E-9	
Y (m)	630.644E-9	
Z (m)	-127.076E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-4.62283E-12	51.7300E-3	65.5116E-3	-4.62283E-12	51.7300E-3	65.5116E-3
-59.4000E-3	-4.46903E-12	49.0866E-3	60.3535E-3	-4.48135E-12	49.1548E-3	61.9399E-3
-58.8000E-3	-4.26824E-12	46.5888E-3	58.4724E-3	-4.39186E-12	46.6327E-3	59.1922E-3
-58.2000E-3	-4.37116E-12	44.1025E-3	57.3016E-3	-4.32292E-12	44.2125E-3	57.6865E-3
-57.6000E-3	-4.37740E-12	41.8166E-3	56.3734E-3	-4.25155E-12	42.0020E-3	57.2437E-3
-57.0000E-3	-4.04612E-12	39.6787E-3	57.1815E-3	-4.15301E-12	40.1579E-3	57.4416E-3
-56.4000E-3	-4.07440E-12	38.3910E-3	58.3896E-3	-4.03865E-12	38.7975E-3	57.9030E-3
-55.8000E-3	-3.91678E-12	37.7451E-3	58.5435E-3	-3.92897E-12	37.9349E-3	58.4871E-3
-55.2000E-3	-3.84493E-12	37.2460E-3	58.2817E-3	-3.83892E-12	37.4827E-3	59.2568E-3
-54.6000E-3	-3.71499E-12	37.1993E-3	60.2805E-3	-3.74874E-12	37.3771E-3	60.2733E-3
-54.0000E-3	-3.68469E-12	37.2620E-3	62.1169E-3	-3.67289E-12	37.6145E-3	61.1262E-3
-53.4000E-3	-3.60441E-12	38.0135E-3	62.2964E-3	-3.60031E-12	38.1295E-3	61.4058E-3
-52.8000E-3	-3.52465E-12	38.9756E-3	60.5902E-3	-3.52225E-12	38.6442E-3	61.1342E-3
-52.2000E-3	-3.45601E-12	39.4203E-3	60.3316E-3	-3.42341E-12	38.9677E-3	60.8839E-3
-51.6000E-3	-3.31956E-12	38.8181E-3	60.8692E-3	-3.30351E-12	39.1238E-3	60.7255E-3
-51.0000E-3	-3.15928E-12	38.9913E-3	61.6256E-3	-3.18613E-12	39.3615E-3	60.3480E-3
-50.4000E-3	-3.02121E-12	39.7559E-3	59.3989E-3	-3.09347E-12	39.9341E-3	59.4776E-3
-49.8000E-3	-3.05586E-12	40.6245E-3	57.7975E-3	-3.01621E-12	40.9888E-3	58.5527E-3
-49.2000E-3	-3.00410E-12	42.0687E-3	57.3094E-3	-2.94004E-12	42.5915E-3	58.0803E-3
-48.6000E-3	-2.78043E-12	44.3004E-3	58.3731E-3	-2.86505E-12	44.6591E-3	58.1182E-3
-48.0000E-3	-2.77744E-12	47.3942E-3	58.8357E-3	-2.80110E-12	46.7888E-3	58.3929E-3
-47.4000E-3	-2.79541E-12	49.3622E-3	57.9391E-3	-2.72970E-12	48.5337E-3	59.0536E-3
-46.8000E-3	-2.71821E-12	49.6836E-3	59.2751E-3	-2.64676E-12	49.6273E-3	60.5187E-3
-46.2000E-3	-2.42363E-12	50.4932E-3	62.7556E-3	-2.54697E-12	49.8275E-3	62.7085E-3
-45.6000E-3	-2.47954E-12	50.4354E-3	66.3071E-3	-2.44878E-12	48.7840E-3	64.9056E-3
-45.0000E-3	-2.41402E-12	47.5013E-3	67.0000E-3	-2.35883E-12	46.4653E-3	66.2527E-3
-44.4000E-3	-2.22254E-12	42.4925E-3	66.8441E-3	-2.29261E-12	43.6892E-3	66.2604E-3
-43.8000E-3	-2.17697E-12	39.6270E-3	66.3515E-3	-2.23223E-12	41.8120E-3	64.9002E-3
-43.2000E-3	-2.28397E-12	40.7253E-3	62.8689E-3	-2.17297E-12	41.6343E-3	62.7006E-3
-42.6000E-3	-2.11169E-12	42.9216E-3	59.0405E-3	-2.09653E-12	42.7617E-3	60.6633E-3
-42.0000E-3	-1.94292E-12	44.7713E-3	58.1192E-3	-2.00494E-12	44.0364E-3	60.0539E-3
