Experiment	bias spectroscopy	
Date	16.08.2023 16:42:00	
User		
X (m)	-645.48E-9	
Y (m)	644.989E-9	
Z (m)	-127.032E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-1.02314E-9	4.13114E+0	-160.888E-3	-1.02314E-9	4.13114E+0	-160.888E-3
-59.4000E-3	-981.775E-12	4.17577E+0	-173.845E-3	-989.438E-12	4.14619E+0	-166.231E-3
-58.8000E-3	-948.027E-12	4.17179E+0	-177.633E-3	-963.248E-12	4.13298E+0	-160.576E-3
-58.2000E-3	-951.528E-12	4.10312E+0	-151.007E-3	-944.182E-12	4.08101E+0	-143.008E-3
-57.6000E-3	-930.323E-12	4.00194E+0	-106.067E-3	-925.474E-12	4.00041E+0	-121.792E-3
-57.0000E-3	-907.822E-12	3.90137E+0	-95.3259E-3	-904.287E-12	3.91114E+0	-106.268E-3
-56.4000E-3	-871.950E-12	3.81709E+0	-102.872E-3	-878.477E-12	3.82865E+0	-97.5341E-3
-55.8000E-3	-860.774E-12	3.75257E+0	-98.8831E-3	-856.126E-12	3.75601E+0	-90.4781E-3
-55.2000E-3	-819.728E-12	3.69391E+0	-76.3085E-3	-837.369E-12	3.68939E+0	-78.3674E-3
-54.6000E-3	-835.347E-12	3.62219E+0	-66.5411E-3	-823.290E-12	3.63133E+0	-61.6732E-3
-54.0000E-3	-805.475E-12	3.55796E+0	-41.0631E-3	-809.420E-12	3.58922E+0	-50.1453E-3
-53.4000E-3	-798.289E-12	3.55784E+0	-23.8791E-3	-796.870E-12	3.56402E+0	-56.0583E-3
-52.8000E-3	-778.508E-12	3.56619E+0	-69.5654E-3	-782.762E-12	3.54845E+0	-81.7418E-3
-52.2000E-3	-775.193E-12	3.53092E+0	-136.198E-3	-768.931E-12	3.53533E+0	-111.791E-3
-51.6000E-3	-754.762E-12	3.50796E+0	-162.730E-3	-754.008E-12	3.52441E+0	-124.020E-3
-51.0000E-3	-732.270E-12	3.51744E+0	-114.910E-3	-738.031E-12	3.51886E+0	-111.909E-3
-50.4000E-3	-728.626E-12	3.52832E+0	-66.7570E-3	-721.814E-12	3.51670E+0	-91.8920E-3
-49.8000E-3	-701.016E-12	3.51366E+0	-67.4600E-3	-703.050E-12	3.51678E+0	-84.3394E-3
-49.2000E-3	-692.242E-12	3.49874E+0	-92.3712E-3	-682.743E-12	3.52655E+0	-92.6992E-3
-48.6000E-3	-648.095E-12	3.53839E+0	-119.871E-3	-661.207E-12	3.55284E+0	-102.178E-3
-48.0000E-3	-645.705E-12	3.60263E+0	-115.443E-3	-642.078E-12	3.58798E+0	-98.3880E-3
-47.4000E-3	-624.157E-12	3.64038E+0	-81.4817E-3	-625.507E-12	3.61114E+0	-80.4710E-3
-46.8000E-3	-607.252E-12	3.63144E+0	-48.3579E-3	-612.253E-12	3.60637E+0	-58.0160E-3
-46.2000E-3	-602.473E-12	3.57948E+0	-32.2728E-3	-596.945E-12	3.57621E+0	-40.1170E-3
-45.6000E-3	-587.902E-12	3.52690E+0	-31.6640E-3	-581.018E-12	3.53739E+0	-24.2683E-3
-45.0000E-3	-552.033E-12	3.49058E+0	-20.5237E-3	-562.446E-12	3.50764E+0	-1.18483E-3
-44.4000E-3	-552.014E-12	3.48185E+0	28.9429E-3	-543.646E-12	3.49572E+0	32.8078E-3
-43.8000E-3	-518.920E-12	3.49596E+0	83.2158E-3	-527.519E-12	3.49993E+0	73.1459E-3
-43.2000E-3	-511.232E-12	3.51263E+0	113.975E-3	-515.413E-12	3.51241E+0	110.860E-3
-42.6000E-3	-509.004E-12	3.53145E+0	146.586E-3	-501.157E-12	3.52445E+0	138.391E-3
-42.0000E-3	-496.320E-12	3.53690E+0	167.200E-3	-482.511E-12	3.53255E+0	153.491E-3
-41.4000E-3	-450.973E-12	3.53260E+0	161.989E-3	-457.787E-12	3.53868E+0	155.867E-3
-40.8000E-3	-426.934E-12	3.54286E+0	152.369E-3	-433.708E-12	3.54205E+0	146.514E-3
-40.2000E-3	-408.833E-12	3.55738E+0	131.922E-3	-414.983E-12	3.53639E+0	130.274E-3
-39.6000E-3	-405.624E-12	3.53255E+0	108.044E-3	-401.797E-12	3.51428E+0	111.631E-3
-39.0000E-3	-390.224E-12	3.47752E+0	94.3613E-3	-390.041E-12	3.47609E+0	92.3426E-3
-38.4000E-3	-375.866E-12	3.42265E+0	74.2476E-3	-378.518E-12	3.43211E+0	75.8316E-3
-37.8000E-3	-367.772E-12	3.38451E+0	52.3440E-3	-365.323E-12	3.39409E+0	67.3432E-3
-37.2000E-3	-356.590E-12	3.36203E+0	58.4210E-3	-350.407E-12	3.36444E+0	72.3178E-3
-36.6000E-3	-329.930E-12	3.34415E+0	85.3686E-3	-333.785E-12	3.33748E+0	93.1619E-3
-36.0000E-3	-314.725E-12	3.31331E+0	122.819E-3	-315.690E-12	3.30757E+0	124.233E-3
-35.4000E-3	-302.350E-12	3.27156E+0	165.926E-3	-297.542E-12	3.27425E+0	154.911E-3
-34.8000E-3	-275.506E-12	3.23631E+0	187.901E-3	-280.080E-12	3.23942E+0	176.761E-3
-34.2000E-3	-262.361E-12	3.20923E+0	192.611E-3	-263.057E-12	3.20209E+0	185.561E-3
-33.6000E-3	-248.231E-12	3.16986E+0	189.804E-3	-246.560E-12	3.15671E+0	180.788E-3
-33.0000E-3	-230.690E-12	3.10896E+0	172.093E-3	-231.878E-12	3.09756E+0	165.326E-3
-32.4000E-3	-213.215E-12	3.03131E+0	142.541E-3	-218.243E-12	3.02346E+0	144.964E-3
-31.8000E-3	-209.513E-12	2.94211E+0	116.065E-3	-205.659E-12	2.93984E+0	127.466E-3
-31.2000E-3	-194.056E-12	2.84697E+0	110.454E-3	-192.320E-12	2.85480E+0	118.848E-3
-30.6000E-3	-178.717E-12	2.76755E+0	117.931E-3	-177.494E-12	2.77316E+0	119.065E-3
-30.0000E-3	-159.109E-12	2.69944E+0	125.807E-3	-162.000E-12	2.69323E+0	123.046E-3
-29.4000E-3	-146.005E-12	2.61929E+0	129.099E-3	-147.971E-12	2.60924E+0	125.910E-3
-28.8000E-3	-136.277E-12	2.52180E+0	126.150E-3	-136.032E-12	2.51714E+0	126.565E-3
-28.2000E-3	-123.743E-12	2.41774E+0	124.934E-3	-126.026E-12	2.41874E+0	126.208E-3
-27.6000E-3	-117.191E-12	2.31632E+0	126.541E-3	-117.329E-12	2.31925E+0	126.341E-3
-27.0000E-3	-109.253E-12	2.21951E+0	126.203E-3	-108.807E-12	2.22224E+0	127.516E-3
-26.4000E-3	-102.274E-12	2.12734E+0	129.264E-3	-100.136E-12	2.12808E+0	129.049E-3
-25.8000E-3	-88.7370E-12	2.03592E+0	132.030E-3	-91.1105E-12	2.03490E+0	129.844E-3
-25.2000E-3	-82.1035E-12	1.94336E+0	130.691E-3	-82.4600E-12	1.94004E+0	128.603E-3
-24.6000E-3	-74.8536E-12	1.84564E+0	126.975E-3	-74.6880E-12	1.84147E+0	124.610E-3
