Experiment	bias spectroscopy	
Date	18.08.2023 15:37:38	
User		
X (m)	-181.31E-9	
Y (m)	85.4275E-9	
Z (m)	-157.028E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-700.000E-3	-148.183E-12	1.31249E+0	-213.586E-3	-148.183E-12	1.31249E+0	-213.586E-3
-696.500E-3	-147.176E-12	1.31970E+0	-231.684E-3	-146.861E-12	1.31760E+0	-228.730E-3
-693.000E-3	-144.697E-12	1.32321E+0	-245.291E-3	-145.844E-12	1.32074E+0	-241.423E-3
-689.500E-3	-145.454E-12	1.32314E+0	-250.945E-3	-145.132E-12	1.32067E+0	-250.792E-3
-686.000E-3	-144.626E-12	1.31938E+0	-259.208E-3	-144.464E-12	1.31646E+0	-256.800E-3
-682.500E-3	-144.200E-12	1.31225E+0	-263.315E-3	-143.710E-12	1.30720E+0	-259.895E-3
-679.000E-3	-142.253E-12	1.29649E+0	-260.371E-3	-142.477E-12	1.29221E+0	-261.649E-3
-675.500E-3	-141.780E-12	1.27437E+0	-259.999E-3	-141.436E-12	1.27166E+0	-263.601E-3
-672.000E-3	-138.769E-12	1.24871E+0	-267.528E-3	-140.608E-12	1.24643E+0	-266.948E-3
-668.500E-3	-141.654E-12	1.21972E+0	-272.203E-3	-140.346E-12	1.21820E+0	-271.145E-3
-665.000E-3	-139.268E-12	1.18758E+0	-275.534E-3	-140.203E-12	1.18900E+0	-274.518E-3
-661.500E-3	-140.982E-12	1.15816E+0	-277.777E-3	-140.266E-12	1.16141E+0	-275.522E-3
-658.000E-3	-139.461E-12	1.13337E+0	-276.744E-3	-140.359E-12	1.13791E+0	-273.235E-3
-654.500E-3	-140.752E-12	1.11587E+0	-270.101E-3	-140.574E-12	1.12056E+0	-266.472E-3
-651.000E-3	-141.737E-12	1.10433E+0	-258.417E-3	-140.637E-12	1.10975E+0	-255.332E-3
-647.500E-3	-139.570E-12	1.10298E+0	-240.609E-3	-140.552E-12	1.10253E+0	-241.954E-3
-644.000E-3	-140.832E-12	1.10223E+0	-225.435E-3	-140.014E-12	1.09308E+0	-230.453E-3
-640.500E-3	-139.921E-12	1.08482E+0	-217.583E-3	-139.053E-12	1.07723E+0	-224.904E-3
-637.000E-3	-137.204E-12	1.05349E+0	-221.873E-3	-138.125E-12	1.05599E+0	-226.917E-3
-633.500E-3	-136.322E-12	1.02819E+0	-234.391E-3	-137.556E-12	1.03457E+0	-234.935E-3
-630.000E-3	-137.931E-12	1.01433E+0	-246.049E-3	-137.443E-12	1.01660E+0	-246.131E-3
-626.500E-3	-138.490E-12	1.00446E+0	-257.894E-3	-137.329E-12	1.00024E+0	-257.675E-3
-623.000E-3	-136.505E-12	987.061E-3	-270.568E-3	-136.851E-12	981.088E-3	-267.505E-3
-619.500E-3	-135.650E-12	958.898E-3	-277.683E-3	-136.252E-12	957.289E-3	-274.677E-3
-616.000E-3	-135.783E-12	929.089E-3	-279.439E-3	-135.797E-12	930.536E-3	-278.869E-3
-612.500E-3	-136.112E-12	902.411E-3	-281.906E-3	-135.585E-12	903.218E-3	-280.848E-3
-609.000E-3	-134.777E-12	877.441E-3	-281.701E-3	-135.381E-12	875.621E-3	-281.179E-3
-605.500E-3	-135.379E-12	849.530E-3	-282.317E-3	-134.987E-12	846.392E-3	-279.206E-3
-602.000E-3	-135.076E-12	815.727E-3	-277.555E-3	-134.343E-12	814.640E-3	-273.357E-3
-598.500E-3	-133.048E-12	781.034E-3	-266.259E-3	-133.717E-12	780.778E-3	-262.884E-3
-595.000E-3	-132.463E-12	746.170E-3	-249.659E-3	-133.197E-12	746.135E-3	-249.194E-3
