Experiment	bias spectroscopy	
Date	16.08.2023 17:18:29	
User		
X (m)	-663.255E-9	
Y (m)	634.112E-9	
Z (m)	-125.578E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-493.535E-12	5.01627E+0	-13.7917E-3	-493.535E-12	5.01627E+0	-13.7917E-3
-59.4000E-3	-497.681E-12	5.00695E+0	-47.6828E-3	-492.451E-12	5.00550E+0	-43.9128E-3
-58.8000E-3	-488.669E-12	4.99500E+0	-71.3925E-3	-487.864E-12	4.99505E+0	-72.9554E-3
-58.2000E-3	-487.010E-12	4.98086E+0	-103.269E-3	-479.774E-12	4.98716E+0	-98.2012E-3
-57.6000E-3	-461.032E-12	4.97884E+0	-125.696E-3	-469.171E-12	4.98371E+0	-116.850E-3
-57.0000E-3	-463.043E-12	4.98547E+0	-133.492E-3	-458.724E-12	4.98385E+0	-126.231E-3
-56.4000E-3	-447.007E-12	4.98794E+0	-131.785E-3	-448.187E-12	4.98208E+0	-124.508E-3
-55.8000E-3	-438.615E-12	4.98436E+0	-118.831E-3	-438.066E-12	4.96872E+0	-114.415E-3
-55.2000E-3	-427.366E-12	4.95742E+0	-96.5391E-3	-427.703E-12	4.93592E+0	-100.061E-3
-54.6000E-3	-415.321E-12	4.89267E+0	-84.4048E-3	-418.899E-12	4.88357E+0	-84.1365E-3
-54.0000E-3	-412.428E-12	4.81445E+0	-71.3197E-3	-410.083E-12	4.82051E+0	-67.4279E-3
-53.4000E-3	-404.681E-12	4.74800E+0	-49.5895E-3	-401.893E-12	4.75949E+0	-50.3622E-3
-52.8000E-3	-386.774E-12	4.70084E+0	-29.5614E-3	-392.516E-12	4.70809E+0	-33.8402E-3
-52.2000E-3	-390.584E-12	4.66536E+0	-18.0887E-3	-382.715E-12	4.66525E+0	-19.1078E-3
-51.6000E-3	-366.548E-12	4.62743E+0	-7.99697E-3	-373.290E-12	4.62567E+0	-5.54744E-3
-51.0000E-3	-364.988E-12	4.58693E+0	7.21241E-3	-364.318E-12	4.58586E+0	8.36786E-3
-50.4000E-3	-359.093E-12	4.54366E+0	24.6623E-3	-353.757E-12	4.54632E+0	22.5378E-3
-49.8000E-3	-342.575E-12	4.50481E+0	38.1143E-3	-342.689E-12	4.50994E+0	34.4805E-3
-49.2000E-3	-326.358E-12	4.47435E+0	46.7658E-3	-331.894E-12	4.47789E+0	42.0804E-3
-48.6000E-3	-320.540E-12	4.45085E+0	46.6475E-3	-323.536E-12	4.44797E+0	44.9643E-3
-48.0000E-3	-321.167E-12	4.42199E+0	45.4898E-3	-317.419E-12	4.41708E+0	44.6075E-3
-47.4000E-3	-311.679E-12	4.38244E+0	42.3122E-3	-310.860E-12	4.38490E+0	42.9924E-3
-46.8000E-3	-303.837E-12	4.34826E+0	40.5918E-3	-301.465E-12	4.35340E+0	41.3737E-3
-46.2000E-3	-292.003E-12	4.32470E+0	40.9813E-3	-289.677E-12	4.32388E+0	39.1310E-3
-45.6000E-3	-273.720E-12	4.29805E+0	38.2272E-3	-278.180E-12	4.29407E+0	36.2719E-3
-45.0000E-3	-265.156E-12	4.26615E+0	29.7406E-3	-268.491E-12	4.26010E+0	33.6405E-3
-44.4000E-3	-262.957E-12	4.22335E+0	30.4938E-3	-260.738E-12	4.22146E+0	31.3497E-3
-43.8000E-3	-254.689E-12	4.17648E+0	33.8521E-3	-254.057E-12	4.18173E+0	29.7996E-3
-43.2000E-3	-245.180E-12	4.14040E+0	24.9079E-3	-246.977E-12	4.14477E+0	29.5561E-3
-42.6000E-3	-241.195E-12	4.11094E+0	27.7291E-3	-239.220E-12	4.11314E+0	30.8978E-3
-42.0000E-3	-231.793E-12	4.08260E+0	36.0266E-3	-230.325E-12	4.08752E+0	33.9347E-3
-41.4000E-3	-221.489E-12	4.06274E+0	38.3798E-3	-221.142E-12	4.06631E+0	37.8158E-3
-40.8000E-3	-207.174E-12	4.05088E+0	41.0023E-3	-212.620E-12	4.04625E+0	41.0319E-3
-40.2000E-3	-207.169E-12	4.02961E+0	43.4116E-3	-204.794E-12	4.02399E+0	44.2882E-3
-39.6000E-3	-201.011E-12	3.99769E+0	46.6944E-3	-197.066E-12	3.99707E+0	49.8006E-3
-39.0000E-3	-184.608E-12	3.96875E+0	54.4414E-3	-189.206E-12	3.96545E+0	58.1810E-3
-38.4000E-3	-181.217E-12	3.93268E+0	70.7434E-3	-181.394E-12	3.93109E+0	67.1355E-3
-37.8000E-3	-175.663E-12	3.89343E+0	80.8384E-3	-173.570E-12	3.89656E+0	72.5177E-3
-37.2000E-3	-167.588E-12	3.86021E+0	75.6336E-3	-165.823E-12	3.86293E+0	71.6940E-3
-36.6000E-3	-153.319E-12	3.83336E+0	65.1354E-3	-157.800E-12	3.82960E+0	65.6851E-3
-36.0000E-3	-151.271E-12	3.79865E+0	56.4612E-3	-150.493E-12	3.79466E+0	58.3812E-3
-35.4000E-3	-145.220E-12	3.75632E+0	50.4920E-3	-143.260E-12	3.75717E+0	52.9003E-3
-34.8000E-3	-136.464E-12	3.71752E+0	48.7502E-3	-136.231E-12	3.71756E+0	50.2428E-3
-34.2000E-3	-125.299E-12	3.67947E+0	48.4584E-3	-128.980E-12	3.67622E+0	50.5218E-3
-33.6000E-3	-124.673E-12	3.63517E+0	51.3318E-3	-122.294E-12	3.63232E+0	52.9627E-3
