Experiment	bias spectroscopy	
Date	18.08.2023 15:40:29	
User		
X (m)	-204.851E-9	
Y (m)	82.3676E-9	
Z (m)	-157.066E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-700.000E-3	-133.171E-12	1.37456E+0	-227.808E-3	-133.171E-12	1.37456E+0	-227.808E-3
-696.500E-3	-131.798E-12	1.37202E+0	-233.163E-3	-132.084E-12	1.37703E+0	-234.742E-3
-693.000E-3	-131.038E-12	1.38080E+0	-242.887E-3	-131.104E-12	1.38063E+0	-241.613E-3
-689.500E-3	-130.312E-12	1.38787E+0	-248.759E-3	-130.282E-12	1.38436E+0	-248.367E-3
-686.000E-3	-129.425E-12	1.38918E+0	-254.713E-3	-129.652E-12	1.38478E+0	-254.645E-3
-682.500E-3	-128.896E-12	1.38448E+0	-260.674E-3	-129.138E-12	1.37954E+0	-260.212E-3
-679.000E-3	-129.088E-12	1.37091E+0	-265.919E-3	-128.660E-12	1.36925E+0	-265.495E-3
-675.500E-3	-128.115E-12	1.35565E+0	-269.967E-3	-128.173E-12	1.35615E+0	-270.221E-3
-672.000E-3	-127.389E-12	1.34139E+0	-275.861E-3	-127.662E-12	1.34232E+0	-273.645E-3
-668.500E-3	-127.335E-12	1.32919E+0	-277.626E-3	-126.949E-12	1.32825E+0	-275.215E-3
-665.000E-3	-126.711E-12	1.31581E+0	-274.709E-3	-126.026E-12	1.31341E+0	-274.910E-3
-661.500E-3	-124.308E-12	1.29686E+0	-273.609E-3	-124.992E-12	1.29783E+0	-273.031E-3
-658.000E-3	-123.665E-12	1.28055E+0	-271.510E-3	-124.051E-12	1.28187E+0	-271.011E-3
-654.500E-3	-123.679E-12	1.26763E+0	-266.532E-3	-123.391E-12	1.26461E+0	-270.063E-3
-651.000E-3	-122.681E-12	1.24992E+0	-269.933E-3	-122.896E-12	1.24345E+0	-269.584E-3
-647.500E-3	-122.616E-12	1.22151E+0	-273.322E-3	-122.216E-12	1.21710E+0	-267.190E-3
-644.000E-3	-121.648E-12	1.18402E+0	-265.255E-3	-121.425E-12	1.18805E+0	-261.025E-3
-640.500E-3	-119.883E-12	1.15517E+0	-249.468E-3	-120.710E-12	1.16061E+0	-252.029E-3
-637.000E-3	-120.307E-12	1.13588E+0	-239.054E-3	-120.243E-12	1.13658E+0	-244.412E-3
