Experiment	bias spectroscopy	
Date	16.08.2023 16:45:50	
User		
X (m)	-645.489E-9	
Y (m)	644.989E-9	
Z (m)	-127.033E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-486.366E-12	4.85450E+0	-65.8029E-3	-486.366E-12	4.85450E+0	-65.8029E-3
-59.4000E-3	-494.750E-12	4.87922E+0	-61.9262E-3	-486.821E-12	4.85917E+0	-85.9186E-3
-58.8000E-3	-488.154E-12	4.88012E+0	-97.2917E-3	-482.128E-12	4.83329E+0	-119.401E-3
-58.2000E-3	-472.249E-12	4.79959E+0	-185.884E-3	-470.760E-12	4.76413E+0	-153.328E-3
-57.6000E-3	-455.701E-12	4.65887E+0	-214.032E-3	-455.951E-12	4.66187E+0	-160.028E-3
-57.0000E-3	-437.775E-12	4.52996E+0	-146.356E-3	-442.826E-12	4.55277E+0	-127.938E-3
-56.4000E-3	-428.407E-12	4.43948E+0	-50.1716E-3	-432.941E-12	4.46292E+0	-76.5866E-3
-55.8000E-3	-430.403E-12	4.38315E+0	-2.29428E-3	-425.880E-12	4.40345E+0	-36.4619E-3
-55.2000E-3	-417.644E-12	4.35765E+0	-20.5189E-3	-421.707E-12	4.37024E+0	-14.2354E-3
-54.6000E-3	-413.772E-12	4.35278E+0	-24.1728E-3	-417.100E-12	4.35711E+0	4.91199E-3
-54.0000E-3	-424.440E-12	4.34490E+0	34.5396E-3	-410.388E-12	4.36498E+0	34.1676E-3
-53.4000E-3	-396.150E-12	4.36757E+0	82.2945E-3	-401.704E-12	4.39771E+0	74.4163E-3
-52.8000E-3	-387.914E-12	4.44721E+0	109.465E-3	-391.241E-12	4.45321E+0	115.657E-3
-52.2000E-3	-385.796E-12	4.53154E+0	161.810E-3	-379.441E-12	4.51649E+0	146.137E-3
-51.6000E-3	-368.224E-12	4.59328E+0	186.531E-3	-367.620E-12	4.56468E+0	157.935E-3
-51.0000E-3	-351.271E-12	4.60856E+0	159.493E-3	-357.722E-12	4.58130E+0	143.705E-3
-50.4000E-3	-341.819E-12	4.58172E+0	117.169E-3	-350.467E-12	4.56436E+0	102.331E-3
-49.8000E-3	-358.619E-12	4.53075E+0	48.1965E-3	-345.684E-12	4.52520E+0	47.1969E-3
-49.2000E-3	-337.262E-12	4.46586E+0	-28.6139E-3	-340.190E-12	4.48636E+0	-1.04414E-3
-48.6000E-3	-330.948E-12	4.43275E+0	-55.4557E-3	-332.083E-12	4.47241E+0	-29.6000E-3
-48.0000E-3	-327.073E-12	4.46628E+0	-33.3680E-3	-322.043E-12	4.49605E+0	-38.3124E-3
-47.4000E-3	-308.277E-12	4.54873E+0	-31.2245E-3	-311.916E-12	4.54632E+0	-38.0778E-3
-46.8000E-3	-303.444E-12	4.62960E+0	-40.1637E-3	-301.854E-12	4.59263E+0	-40.1263E-3
-46.2000E-3	-288.627E-12	4.64642E+0	-44.8844E-3	-292.021E-12	4.60667E+0	-48.0633E-3
-45.6000E-3	-286.720E-12	4.59758E+0	-55.5549E-3	-282.423E-12	4.58105E+0	-58.1699E-3
-45.0000E-3	-272.029E-12	4.52722E+0	-74.4075E-3	-272.199E-12	4.52584E+0	-64.8527E-3
-44.4000E-3	-258.590E-12	4.46312E+0	-77.0345E-3	-262.160E-12	4.45724E+0	-64.2695E-3
-43.8000E-3	-254.305E-12	4.38238E+0	-52.7432E-3	-252.012E-12	4.38780E+0	-56.6572E-3
-43.2000E-3	-243.039E-12	4.31123E+0	-41.2244E-3	-242.951E-12	4.32324E+0	-45.2239E-3
-42.6000E-3	-230.828E-12	4.26575E+0	-39.0790E-3	-234.131E-12	4.26254E+0	-31.0332E-3
-42.0000E-3	-228.703E-12	4.21245E+0	-21.3752E-3	-225.769E-12	4.19937E+0	-10.6728E-3
-41.4000E-3	-215.565E-12	4.13688E+0	13.6761E-3	-216.614E-12	4.12732E+0	18.7240E-3
-40.8000E-3	-211.416E-12	4.04369E+0	57.5604E-3	-208.146E-12	4.04768E+0	52.4168E-3
-40.2000E-3	-190.664E-12	3.95972E+0	92.9216E-3	-200.695E-12	3.97033E+0	79.4982E-3
-39.6000E-3	-200.004E-12	3.89112E+0	108.492E-3	-194.003E-12	3.90785E+0	90.8904E-3
-39.0000E-3	-191.859E-12	3.84498E+0	93.8935E-3	-187.588E-12	3.87005E+0	86.8189E-3
-38.4000E-3	-171.887E-12	3.84080E+0	65.7151E-3	-180.526E-12	3.85705E+0	77.6809E-3
-37.8000E-3	-179.855E-12	3.86585E+0	60.2796E-3	-171.416E-12	3.85934E+0	76.8095E-3
-37.2000E-3	-161.963E-12	3.87406E+0	81.9121E-3	-161.796E-12	3.86205E+0	90.9125E-3
-36.6000E-3	-147.052E-12	3.86407E+0	117.343E-3	-152.951E-12	3.85218E+0	116.617E-3
-36.0000E-3	-144.232E-12	3.83832E+0	149.471E-3	-144.427E-12	3.82486E+0	144.438E-3
-35.4000E-3	-141.458E-12	3.78920E+0	174.894E-3	-137.097E-12	3.78329E+0	166.128E-3
-34.8000E-3	-128.148E-12	3.73157E+0	186.170E-3	-130.123E-12	3.73181E+0	177.899E-3
-34.2000E-3	-119.126E-12	3.67943E+0	183.920E-3	-123.302E-12	3.67321E+0	179.574E-3
-33.6000E-3	-120.665E-12	3.61532E+0	177.460E-3	-116.400E-12	3.61000E+0	172.420E-3
-33.0000E-3	-111.817E-12	3.53933E+0	162.954E-3	-109.164E-12	3.54406E+0	158.131E-3
-32.4000E-3	-96.9857E-12	3.47662E+0	140.666E-3	-101.232E-12	3.47611E+0	139.136E-3
-31.8000E-3	-93.4215E-12	3.41345E+0	115.291E-3	-93.7165E-12	3.40538E+0	119.253E-3
-31.2000E-3	-87.4707E-12	3.33432E+0	96.7088E-3	-87.6020E-12	3.33016E+0	102.090E-3
-30.6000E-3	-82.7187E-12	3.24905E+0	88.7152E-3	-82.5590E-12	3.24960E+0	88.1045E-3
-30.0000E-3	-76.5931E-12	3.16775E+0	78.5130E-3	-77.5390E-12	3.16461E+0	74.8744E-3
-29.4000E-3	-73.4944E-12	3.08115E+0	61.3473E-3	-72.0300E-12	3.07558E+0	60.6848E-3
-28.8000E-3	-67.7757E-12	2.98432E+0	42.4854E-3	-66.2181E-12	2.98139E+0	47.1571E-3
-28.2000E-3	-56.7068E-12	2.88509E+0	31.6393E-3	-60.6750E-12	2.88001E+0	38.4032E-3
-27.6000E-3	-56.3403E-12	2.77973E+0	31.3105E-3	-55.6753E-12	2.77053E+0	37.4104E-3
-27.0000E-3	-52.7864E-12	2.65650E+0	40.2189E-3	-51.2153E-12	2.65378E+0	44.0605E-3
-26.4000E-3	-45.6991E-12	2.53056E+0	55.1880E-3	-47.1087E-12	2.53197E+0	55.1458E-3
-25.8000E-3	-42.2814E-12	2.40930E+0	70.3593E-3	-43.0826E-12	2.40762E+0	66.6519E-3
-25.2000E-3	-39.9082E-12	2.28414E+0	78.2595E-3	-39.5214E-12	2.28267E+0	75.5318E-3
-24.6000E-3	-36.7375E-12	2.15534E+0	82.7034E-3	-36.2797E-12	2.15830E+0	81.0242E-3
-24.0000E-3	-32.3432E-12	2.03230E+0	84.2292E-3	-33.0240E-12	2.03607E+0	83.9496E-3
-23.4000E-3	-29.6854E-12	1.91567E+0	86.1929E-3	-29.8897E-12	1.91747E+0	85.3698E-3
-22.8000E-3	-27.1964E-12	1.80070E+0	86.7692E-3	-26.9772E-12	1.80330E+0	85.4948E-3
-22.2000E-3	-24.1047E-12	1.68861E+0	85.2509E-3	-24.3121E-12	1.69395E+0	84.3453E-3
-21.6000E-3	-21.3629E-12	1.58632E+0	82.3347E-3	-21.7494E-12	1.58953E+0	82.6635E-3
-21.0000E-3	-19.6400E-12	1.48859E+0	79.1615E-3	-19.3272E-12	1.48900E+0	81.4235E-3
-20.4000E-3	-16.8323E-12	1.39099E+0	81.3882E-3	-17.1546E-12	1.39015E+0	80.8877E-3
-19.8000E-3	-14.6716E-12	1.29196E+0	81.8905E-3	-15.2531E-12	1.29161E+0	80.5005E-3
-19.2000E-3	-13.8176E-12	1.19116E+0	79.6117E-3	-13.5355E-12	1.19507E+0	79.8038E-3
-18.6000E-3	-12.1430E-12	1.09595E+0	78.0633E-3	-11.9106E-12	1.10455E+0	78.6163E-3
-18.0000E-3	-10.0146E-12	1.01448E+0	78.0090E-3	-10.1656E-12	1.02408E+0	76.9748E-3
-17.4000E-3	-8.49420E-12	947.872E-3	76.0232E-3	-8.36103E-12	955.817E-3	74.8544E-3
-16.8000E-3	-6.27612E-12	892.246E-3	71.2369E-3	-6.57109E-12	899.800E-3	72.6064E-3
-16.2000E-3	-5.13022E-12	847.680E-3	69.4483E-3	-4.82048E-12	855.203E-3	70.9266E-3
-15.6000E-3	-2.90849E-12	814.228E-3	70.3783E-3	-3.01996E-12	821.667E-3	70.1783E-3
-15.0000E-3	-1.27086E-12	791.308E-3	70.3522E-3	-1.14711E-12	799.799E-3	69.9953E-3
-14.4000E-3	697.826E-15	780.508E-3	69.7531E-3	862.464E-15	791.101E-3	69.8645E-3
-13.8000E-3	2.99549E-12	785.295E-3	69.2742E-3	3.08421E-12	797.817E-3	69.7424E-3
-13.2000E-3	5.08160E-12	808.622E-3	69.8705E-3	5.74776E-12	822.505E-3	69.8534E-3
-12.6000E-3	8.50394E-12	852.136E-3	70.1115E-3	8.68086E-12	867.928E-3	70.2394E-3
-12.0000E-3	12.6002E-12	918.280E-3	70.5869E-3	11.8338E-12	936.413E-3	70.7600E-3
-11.4000E-3	14.1694E-12	1.01244E+0	71.5975E-3	15.3912E-12	1.02884E+0	71.5828E-3
-10.8000E-3	18.6076E-12	1.13096E+0	71.7196E-3	19.5367E-12	1.14527E+0	73.0010E-3
-10.2000E-3	24.6993E-12	1.26797E+0	74.8328E-3	24.2524E-12	1.28690E+0	75.6565E-3
-9.60000E-3	29.4317E-12	1.43259E+0	77.9913E-3	29.5113E-12	1.45621E+0	78.4458E-3
-9.00000E-3	34.1065E-12	1.63450E+0	85.3463E-3	35.3528E-12	1.65602E+0	79.9375E-3
-8.40000E-3	41.0907E-12	1.86671E+0	79.4482E-3	42.0183E-12	1.88711E+0	78.8655E-3
-7.80000E-3	49.7818E-12	2.12952E+0	75.4959E-3	49.3523E-12	2.14663E+0	76.0557E-3
-7.20000E-3	57.4401E-12	2.41864E+0	71.5694E-3	57.7667E-12	2.42914E+0	73.1527E-3
-6.60000E-3	63.7985E-12	2.72203E+0	70.6026E-3	66.8423E-12	2.73014E+0	72.2534E-3
-6.00000E-3	79.4656E-12	3.03432E+0	71.5992E-3	76.3702E-12	3.04671E+0	73.4002E-3
-5.40000E-3	85.3579E-12	3.36830E+0	76.3314E-3	85.4539E-12	3.37381E+0	75.8364E-3
-4.80000E-3	94.4739E-12	3.71504E+0	79.8436E-3	94.0174E-12	3.70133E+0	79.1576E-3
-4.20000E-3	100.952E-12	4.03687E+0	80.2119E-3	102.594E-12	4.01435E+0	85.5834E-3
-3.60000E-3	110.980E-12	4.32574E+0	88.6027E-3	112.674E-12	4.29870E+0	99.0759E-3
-3.00000E-3	123.734E-12	4.57360E+0	115.197E-3	124.561E-12	4.54892E+0	121.676E-3
-2.40000E-3	136.884E-12	4.78119E+0	152.585E-3	137.752E-12	4.77009E+0	151.181E-3
-1.80000E-3	153.085E-12	4.97469E+0	185.335E-3	151.439E-12	4.97278E+0	180.391E-3
-1.20000E-3	164.096E-12	5.16709E+0	213.821E-3	165.527E-12	5.16539E+0	200.847E-3
-600.000E-6	178.689E-12	5.36107E+0	220.237E-3	179.896E-12	5.34577E+0	207.291E-3
