Experiment	bias spectroscopy	
Date	16.08.2023 18:09:49	
User		
X (m)	-668.667E-9	
Y (m)	630.91E-9	
Z (m)	-125.82E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-497.429E-12	4.26475E+0	-11.1785E-3	-497.429E-12	4.26475E+0	-11.1785E-3
-59.4000E-3	-495.449E-12	4.20553E+0	-9.85628E-3	-500.026E-12	4.19596E+0	-33.3105E-3
-58.8000E-3	-519.635E-12	4.12745E+0	-59.9129E-3	-495.565E-12	4.12566E+0	-63.7312E-3
-58.2000E-3	-477.066E-12	4.04136E+0	-108.411E-3	-482.995E-12	4.05946E+0	-100.368E-3
-57.6000E-3	-467.684E-12	3.99106E+0	-146.128E-3	-467.412E-12	4.00669E+0	-130.728E-3
-57.0000E-3	-441.504E-12	3.96346E+0	-157.788E-3	-453.905E-12	3.97428E+0	-143.054E-3
-56.4000E-3	-448.859E-12	3.94652E+0	-149.637E-3	-445.629E-12	3.96501E+0	-135.971E-3
-55.8000E-3	-445.963E-12	3.95987E+0	-117.199E-3	-438.712E-12	3.97451E+0	-114.414E-3
-55.2000E-3	-422.818E-12	4.00336E+0	-82.2235E-3	-431.028E-12	3.99570E+0	-88.7724E-3
-54.6000E-3	-428.375E-12	4.02352E+0	-57.0539E-3	-422.110E-12	4.01867E+0	-66.6663E-3
-54.0000E-3	-409.514E-12	4.04096E+0	-52.6785E-3	-412.282E-12	4.03289E+0	-48.0995E-3
-53.4000E-3	-406.395E-12	4.04952E+0	-38.9412E-3	-402.526E-12	4.03245E+0	-28.4833E-3
-52.8000E-3	-387.666E-12	4.02513E+0	-1.96009E-3	-389.524E-12	4.01933E+0	-5.52445E-3
-52.2000E-3	-382.828E-12	3.99242E+0	23.5866E-3	-375.485E-12	4.00132E+0	18.0180E-3
-51.6000E-3	-353.046E-12	3.97494E+0	41.0559E-3	-360.965E-12	3.98905E+0	39.1196E-3
-51.0000E-3	-346.331E-12	3.98270E+0	53.3621E-3	-348.425E-12	3.98855E+0	57.7225E-3
-50.4000E-3	-340.483E-12	3.99763E+0	77.6678E-3	-337.811E-12	3.99712E+0	75.1560E-3
-49.8000E-3	-326.748E-12	4.01017E+0	96.7698E-3	-329.467E-12	4.00900E+0	89.4670E-3
-49.2000E-3	-320.701E-12	4.02082E+0	102.810E-3	-322.479E-12	4.02084E+0	97.8374E-3
-48.6000E-3	-315.230E-12	4.03118E+0	102.453E-3	-316.469E-12	4.03233E+0	96.8318E-3
-48.0000E-3	-315.620E-12	4.04478E+0	96.9794E-3	-311.687E-12	4.04226E+0	83.5015E-3
-47.4000E-3	-302.397E-12	4.05566E+0	68.6460E-3	-305.857E-12	4.04863E+0	54.9956E-3
-46.8000E-3	-304.150E-12	4.05195E+0	18.8858E-3	-299.220E-12	4.04961E+0	11.9648E-3
-46.2000E-3	-288.830E-12	4.04808E+0	-42.0026E-3	-291.762E-12	4.04429E+0	-39.0972E-3
-45.6000E-3	-284.690E-12	4.03849E+0	-97.6080E-3	-285.544E-12	4.03409E+0	-85.4908E-3
-45.0000E-3	-277.839E-12	4.01865E+0	-137.825E-3	-278.589E-12	4.02397E+0	-117.797E-3
-44.4000E-3	-278.619E-12	4.00736E+0	-138.202E-3	-270.903E-12	4.02036E+0	-132.518E-3
-43.8000E-3	-257.408E-12	4.01874E+0	-138.691E-3	-262.190E-12	4.02576E+0	-130.772E-3
-43.2000E-3	-250.028E-12	4.04458E+0	-127.671E-3	-252.449E-12	4.03375E+0	-114.352E-3
-42.6000E-3	-250.503E-12	4.05105E+0	-93.0241E-3	-243.095E-12	4.03345E+0	-85.5266E-3
-42.0000E-3	-226.479E-12	4.02587E+0	-47.9194E-3	-234.366E-12	4.02034E+0	-49.3232E-3
-41.4000E-3	-229.140E-12	3.99282E+0	-2.37699E-3	-226.396E-12	3.99975E+0	-14.5077E-3
-40.8000E-3	-217.046E-12	3.97430E+0	18.3382E-3	-217.883E-12	3.98205E+0	12.3844E-3
-40.2000E-3	-214.449E-12	3.96584E+0	32.2313E-3	-210.272E-12	3.97335E+0	29.6063E-3
-39.6000E-3	-195.001E-12	3.97078E+0	45.7381E-3	-202.318E-12	3.97301E+0	36.9931E-3
-39.0000E-3	-198.032E-12	3.97773E+0	44.1573E-3	-195.871E-12	3.97927E+0	34.2968E-3
-38.4000E-3	-190.873E-12	3.98298E+0	26.7902E-3	-189.477E-12	3.99241E+0	22.0820E-3
-37.8000E-3	-183.837E-12	4.00703E+0	1.22849E-3	-182.733E-12	4.01039E+0	5.61589E-3
-37.2000E-3	-173.987E-12	4.03978E+0	-16.9590E-3	-174.341E-12	4.02640E+0	-7.96756E-3
-36.6000E-3	-165.722E-12	4.04802E+0	-18.0344E-3	-165.352E-12	4.03017E+0	-15.4462E-3
-36.0000E-3	-156.920E-12	4.02874E+0	-16.4407E-3	-155.387E-12	4.01409E+0	-19.1586E-3
-35.4000E-3	-145.434E-12	3.98746E+0	-19.7771E-3	-145.934E-12	3.97800E+0	-23.2317E-3
-34.8000E-3	-131.816E-12	3.93314E+0	-29.8167E-3	-137.934E-12	3.92580E+0	-27.1067E-3
-34.2000E-3	-134.134E-12	3.86980E+0	-38.2552E-3	-131.188E-12	3.86192E+0	-25.5112E-3
-33.6000E-3	-127.745E-12	3.79092E+0	-22.3215E-3	-124.465E-12	3.79118E+0	-14.7864E-3
-33.0000E-3	-114.897E-12	3.71447E+0	5.75899E-3	-116.864E-12	3.71849E+0	2.98313E-3
-32.4000E-3	-107.981E-12	3.64587E+0	26.9152E-3	-108.956E-12	3.64599E+0	21.9810E-3
-31.8000E-3	-100.711E-12	3.57851E+0	39.5817E-3	-102.374E-12	3.57200E+0	37.5955E-3
-31.2000E-3	-97.6987E-12	3.49926E+0	49.9523E-3	-97.3035E-12	3.49413E+0	49.1969E-3
-30.6000E-3	-92.3946E-12	3.40942E+0	60.4841E-3	-92.0791E-12	3.41448E+0	58.3537E-3
-30.0000E-3	-88.7294E-12	3.32917E+0	65.8857E-3	-86.2620E-12	3.33834E+0	65.0927E-3
-29.4000E-3	-77.7839E-12	3.26528E+0	73.1752E-3	-79.7142E-12	3.26768E+0	68.3264E-3
-28.8000E-3	-73.0837E-12	3.20656E+0	70.7236E-3	-73.3735E-12	3.19707E+0	66.8424E-3
-28.2000E-3	-67.2323E-12	3.13167E+0	63.0808E-3	-67.2984E-12	3.11707E+0	60.5555E-3
-27.6000E-3	-62.4692E-12	3.03323E+0	51.8054E-3	-61.9157E-12	3.02122E+0	50.6793E-3
-27.0000E-3	-54.9687E-12	2.91724E+0	38.0695E-3	-56.6284E-12	2.90908E+0	40.1221E-3
-26.4000E-3	-52.6946E-12	2.78953E+0	28.0153E-3	-51.8360E-12	2.78459E+0	31.3580E-3
-25.8000E-3	-46.4992E-12	2.65460E+0	23.6391E-3	-47.4954E-12	2.65283E+0	25.8961E-3
-25.2000E-3	-43.5351E-12	2.51692E+0	22.1298E-3	-43.5222E-12	2.51841E+0	23.6706E-3
-24.6000E-3	-40.1079E-12	2.38192E+0	23.3447E-3	-39.5784E-12	2.38518E+0	23.7983E-3
-24.0000E-3	-35.2403E-12	2.25197E+0	24.2708E-3	-35.8563E-12	2.25547E+0	25.5039E-3
-23.4000E-3	-32.0259E-12	2.12771E+0	27.7228E-3	-32.2393E-12	2.12960E+0	28.8152E-3
-22.8000E-3	-28.9605E-12	2.00627E+0	32.1032E-3	-28.9195E-12	2.00644E+0	33.9800E-3
-22.2000E-3	-25.5387E-12	1.88445E+0	39.9149E-3	-25.9217E-12	1.88479E+0	40.8946E-3
-21.6000E-3	-23.0682E-12	1.76289E+0	49.4736E-3	-23.1256E-12	1.76498E+0	48.4482E-3
-21.0000E-3	-20.4667E-12	1.64371E+0	57.1790E-3	-20.5822E-12	1.64844E+0	55.2475E-3
-20.4000E-3	-17.9671E-12	1.53314E+0	61.5882E-3	-18.1938E-12	1.53682E+0	59.7852E-3
-19.8000E-3	-16.2130E-12	1.42705E+0	64.1298E-3	-15.8991E-12	1.43156E+0	61.3685E-3
-19.2000E-3	-13.3169E-12	1.32688E+0	61.5157E-3	-13.6681E-12	1.33408E+0	60.4897E-3
-18.6000E-3	-11.5672E-12	1.23825E+0	57.2750E-3	-11.4911E-12	1.24572E+0	58.1886E-3
-18.0000E-3	-9.38393E-12	1.16064E+0	55.7019E-3	-9.37479E-12	1.16763E+0	55.4018E-3
-17.4000E-3	-7.15856E-12	1.09302E+0	52.9520E-3	-7.36071E-12	1.09975E+0	53.3260E-3
-16.8000E-3	-5.45834E-12	1.03579E+0	49.6928E-3	-5.37445E-12	1.04128E+0	52.6614E-3
-16.2000E-3	-3.44790E-12	986.035E-3	53.0554E-3	-3.41279E-12	992.254E-3	53.4296E-3
-15.6000E-3	-1.43848E-12	944.218E-3	56.2415E-3	-1.34531E-12	954.473E-3	55.1350E-3
-15.0000E-3	579.211E-15	917.905E-3	56.8824E-3	869.318E-15	930.954E-3	56.6972E-3
-14.4000E-3	3.39796E-12	911.628E-3	58.2731E-3	3.36480E-12	925.232E-3	57.3281E-3
-13.8000E-3	5.50760E-12	924.175E-3	57.4639E-3	6.13895E-12	940.044E-3	57.3428E-3
-13.2000E-3	9.43871E-12	960.974E-3	56.5018E-3	9.21454E-12	976.819E-3	57.3632E-3
-12.6000E-3	12.2320E-12	1.02117E+0	57.2852E-3	12.5885E-12	1.03661E+0	57.5661E-3
-12.0000E-3	15.8814E-12	1.10264E+0	58.7468E-3	16.3460E-12	1.12052E+0	58.4476E-3
-11.4000E-3	20.3351E-12	1.21138E+0	58.1852E-3	20.5729E-12	1.22928E+0	59.9317E-3
-10.8000E-3	24.7806E-12	1.34667E+0	62.5966E-3	25.5700E-12	1.36444E+0	61.4237E-3
-10.2000E-3	30.5847E-12	1.50563E+0	64.1931E-3	31.2410E-12	1.52845E+0	62.2232E-3
-9.60000E-3	37.8704E-12	1.69969E+0	61.9058E-3	37.8345E-12	1.72389E+0	61.7337E-3
-9.00000E-3	43.5734E-12	1.92989E+0	60.7877E-3	45.0718E-12	1.95352E+0	59.6371E-3
-8.40000E-3	53.9896E-12	2.19288E+0	57.1989E-3	52.8348E-12	2.21794E+0	56.2544E-3
-7.80000E-3	59.9989E-12	2.49628E+0	52.3124E-3	60.6225E-12	2.51402E+0	52.1783E-3
-7.20000E-3	69.1001E-12	2.82488E+0	46.7835E-3	69.3037E-12	2.83631E+0	47.5690E-3
-6.60000E-3	75.4617E-12	3.16817E+0	43.9969E-3	78.9893E-12	3.17867E+0	43.5933E-3
-6.00000E-3	91.8333E-12	3.52813E+0	37.5943E-3	90.2000E-12	3.53473E+0	41.4200E-3
-5.40000E-3	101.313E-12	3.89875E+0	39.7235E-3	102.571E-12	3.89805E+0	42.7099E-3
-4.80000E-3	114.534E-12	4.26789E+0	44.5925E-3	115.664E-12	4.26093E+0	50.7486E-3
-4.20000E-3	130.507E-12	4.62623E+0	56.3849E-3	129.034E-12	4.61793E+0	69.0453E-3
-3.60000E-3	141.521E-12	4.96820E+0	92.0451E-3	143.164E-12	4.97035E+0	94.6886E-3
-3.00000E-3	157.010E-12	5.31411E+0	135.857E-3	157.678E-12	5.32266E+0	116.422E-3
-2.40000E-3	173.747E-12	5.67944E+0	145.905E-3	171.769E-12	5.67121E+0	122.429E-3
-1.80000E-3	186.854E-12	6.03744E+0	112.821E-3	185.480E-12	5.99988E+0	112.222E-3
-1.20000E-3	195.954E-12	6.33252E+0	80.9097E-3	198.817E-12	6.28422E+0	97.4982E-3
-600.000E-6	212.882E-12	6.55769E+0	81.9369E-3	212.442E-12	6.50273E+0	91.5821E-3
-6.93889E-18	227.225E-12	6.70120E+0	94.6891E-3	225.979E-12	6.65108E+0	99.4942E-3
600.000E-6	240.444E-12	6.75879E+0	112.578E-3	238.856E-12	6.74643E+0	115.752E-3
1.20000E-3	249.726E-12	6.80308E+0	140.612E-3	249.971E-12	6.81633E+0	130.783E-3
1.80000E-3	262.123E-12	6.87736E+0	150.157E-3	259.774E-12	6.87957E+0	137.606E-3
2.40000E-3	267.826E-12	6.96014E+0	137.681E-3	268.871E-12	6.92872E+0	133.005E-3
3.00000E-3	276.948E-12	6.99776E+0	121.990E-3	278.100E-12	6.93352E+0	116.611E-3
3.60000E-3	288.046E-12	6.93156E+0	99.6976E-3	287.650E-12	6.86857E+0	94.7792E-3
4.20000E-3	297.906E-12	6.76286E+0	59.6420E-3	296.713E-12	6.73552E+0	78.1595E-3
4.80000E-3	307.348E-12	6.55607E+0	55.2884E-3	306.679E-12	6.55808E+0	74.5124E-3
5.40000E-3	309.066E-12	6.36387E+0	87.4870E-3	319.290E-12	6.36067E+0	82.8090E-3
6.00000E-3	337.012E-12	6.16767E+0	105.597E-3	334.430E-12	6.15819E+0	91.8182E-3
6.60000E-3	356.231E-12	5.94465E+0	103.279E-3	349.767E-12	5.96190E+0	89.5546E-3
7.20000E-3	362.037E-12	5.75116E+0	75.8004E-3	363.135E-12	5.78623E+0	74.0479E-3
7.80000E-3	373.928E-12	5.61734E+0	49.4717E-3	372.976E-12	5.64494E+0	50.3967E-3
8.40000E-3	384.011E-12	5.52231E+0	27.8802E-3	380.829E-12	5.53794E+0	20.9958E-3
9.00000E-3	386.926E-12	5.45496E+0	-6.08366E-3	388.149E-12	5.44740E+0	-13.0707E-3
9.60000E-3	392.672E-12	5.37481E+0	-55.4789E-3	396.402E-12	5.34638E+0	-48.9576E-3
10.2000E-3	404.880E-12	5.25200E+0	-91.5213E-3	406.123E-12	5.21294E+0	-82.2865E-3
10.8000E-3	421.048E-12	5.06307E+0	-108.726E-3	417.345E-12	5.03976E+0	-108.986E-3
11.4000E-3	425.577E-12	4.83939E+0	-134.166E-3	429.477E-12	4.84172E+0	-122.985E-3
12.0000E-3	440.917E-12	4.61627E+0	-146.867E-3	441.649E-12	4.64918E+0	-109.362E-3
12.6000E-3	458.306E-12	4.44645E+0	-103.683E-3	456.669E-12	4.48987E+0	-53.7986E-3
13.2000E-3	463.006E-12	4.35131E+0	32.4441E-3	472.254E-12	4.37322E+0	41.5740E-3
13.8000E-3	503.240E-12	4.28414E+0	176.620E-3	486.650E-12	4.28988E+0	147.427E-3
14.4000E-3	492.664E-12	4.22329E+0	276.450E-3	497.791E-12	4.22233E+0	231.110E-3
15.0000E-3	507.217E-12	4.15988E+0	289.461E-3	506.658E-12	4.16229E+0	281.140E-3
15.6000E-3	515.021E-12	4.09214E+0	298.353E-3	512.558E-12	4.11987E+0	311.291E-3
16.2000E-3	520.479E-12	4.06632E+0	336.533E-3	518.909E-12	4.11081E+0	333.672E-3
16.8000E-3	520.296E-12	4.12047E+0	374.081E-3	524.441E-12	4.13960E+0	348.750E-3
17.4000E-3	531.627E-12	4.20177E+0	359.327E-3	534.203E-12	4.18470E+0	350.595E-3
18.0000E-3	538.307E-12	4.26258E+0	333.760E-3	546.143E-12	4.20569E+0	346.534E-3
18.6000E-3	575.680E-12	4.22778E+0	326.840E-3	558.547E-12	4.17945E+0	346.176E-3
19.2000E-3	561.492E-12	4.09776E+0	368.318E-3	570.036E-12	4.12942E+0	338.625E-3
19.8000E-3	575.511E-12	4.02275E+0	364.994E-3	581.525E-12	4.11433E+0	296.507E-3
20.4000E-3	601.453E-12	4.09992E+0	231.900E-3	588.666E-12	4.18175E+0	205.149E-3
21.0000E-3	603.939E-12	4.31547E+0	64.7595E-3	594.508E-12	4.32388E+0	84.8683E-3
21.6000E-3	576.593E-12	4.54167E+0	-71.9237E-3	600.203E-12	4.48650E+0	-4.83596E-3
22.2000E-3	611.091E-12	4.66090E+0	-119.933E-3	609.178E-12	4.61918E+0	-2.38603E-3
22.8000E-3	632.172E-12	4.71597E+0	37.1191E-3	620.583E-12	4.71432E+0	102.800E-3
23.4000E-3	629.527E-12	4.76866E+0	313.574E-3	631.516E-12	4.79473E+0	258.477E-3
24.0000E-3	634.229E-12	4.88055E+0	481.380E-3	640.336E-12	4.87557E+0	397.070E-3
24.6000E-3	650.220E-12	4.98452E+0	483.843E-3	651.342E-12	4.95165E+0	480.516E-3
25.2000E-3	667.056E-12	5.01733E+0	520.902E-3	663.001E-12	5.01484E+0	501.738E-3
25.8000E-3	679.173E-12	5.05679E+0	551.084E-3	674.742E-12	5.06913E+0	463.999E-3
26.4000E-3	673.573E-12	5.11772E+0	403.418E-3	681.271E-12	5.14155E+0	367.928E-3
27.0000E-3	705.968E-12	5.19412E+0	215.221E-3	685.169E-12	5.26200E+0	223.375E-3
27.6000E-3	668.570E-12	5.39867E+0	54.0185E-3	691.583E-12	5.41913E+0	57.4659E-3
28.2000E-3	694.317E-12	5.66787E+0	-104.797E-3	701.827E-12	5.54819E+0	-103.689E-3
28.8000E-3	735.908E-12	5.72597E+0	-269.573E-3	711.347E-12	5.57545E+0	-244.298E-3
29.4000E-3	716.355E-12	5.51715E+0	-402.277E-3	721.714E-12	5.48616E+0	-348.755E-3
30.0000E-3	712.815E-12	5.27087E+0	-434.792E-3	732.396E-12	5.33406E+0	-411.441E-3
30.6000E-3	752.472E-12	5.16835E+0	-432.714E-3	748.631E-12	5.18510E+0	-450.694E-3
31.2000E-3	773.570E-12	5.07710E+0	-464.199E-3	767.595E-12	5.06591E+0	-490.467E-3
31.8000E-3	793.495E-12	4.94565E+0	-553.062E-3	781.637E-12	4.97969E+0	-538.232E-3
32.4000E-3	783.320E-12	4.86823E+0	-607.297E-3	788.579E-12	4.93286E+0	-581.655E-3
33.0000E-3	792.089E-12	4.91334E+0	-613.953E-3	793.359E-12	4.94293E+0	-601.739E-3
33.6000E-3	800.043E-12	4.97858E+0	-621.566E-3	801.334E-12	5.03144E+0	-587.371E-3
34.2000E-3	803.776E-12	5.10331E+0	-563.480E-3	813.762E-12	5.21417E+0	-533.823E-3
34.8000E-3	837.257E-12	5.43621E+0	-468.802E-3	825.517E-12	5.48614E+0	-437.267E-3
35.4000E-3	841.878E-12	5.84501E+0	-324.978E-3	834.949E-12	5.80965E+0	-305.205E-3
36.0000E-3	830.468E-12	6.18015E+0	-137.766E-3	844.298E-12	6.11931E+0	-168.064E-3
36.6000E-3	851.884E-12	6.42610E+0	-1.31748E-3	856.202E-12	6.34815E+0	-61.4072E-3
37.2000E-3	877.998E-12	6.56822E+0	29.5008E-3	871.172E-12	6.46764E+0	-6.47143E-3
37.8000E-3	890.600E-12	6.52913E+0	8.02190E-3	885.794E-12	6.48104E+0	16.5532E-3
38.4000E-3	893.023E-12	6.43950E+0	-14.5530E-3	897.917E-12	6.40948E+0	58.9876E-3
39.0000E-3	907.839E-12	6.30860E+0	96.0560E-3	908.077E-12	6.27578E+0	153.427E-3
39.6000E-3	925.627E-12	6.12941E+0	317.799E-3	914.418E-12	6.10581E+0	269.320E-3
40.2000E-3	920.915E-12	5.89650E+0	462.423E-3	919.229E-12	5.93732E+0	340.467E-3
40.8000E-3	905.516E-12	5.72176E+0	379.416E-3	925.525E-12	5.81361E+0	313.272E-3
41.4000E-3	941.524E-12	5.72672E+0	218.905E-3	935.345E-12	5.74547E+0	187.309E-3
42.0000E-3	955.704E-12	5.75595E+0	12.9700E-3	950.465E-12	5.70266E+0	11.8684E-3
42.6000E-3	953.031E-12	5.67343E+0	-211.307E-3	967.893E-12	5.65565E+0	-140.255E-3
43.2000E-3	994.671E-12	5.54960E+0	-324.508E-3	983.258E-12	5.61136E+0	-207.352E-3
43.8000E-3	1.00378E-9	5.54841E+0	-240.586E-3	996.937E-12	5.60265E+0	-155.690E-3
44.4000E-3	1.00033E-9	5.63649E+0	-30.4819E-3	1.01183E-9	5.64388E+0	-3.44501E-3
45.0000E-3	1.01985E-9	5.71996E+0	223.021E-3	1.03054E-9	5.70939E+0	182.443E-3
45.6000E-3	1.06033E-9	5.79928E+0	413.712E-3	1.04737E-9	5.75616E+0	325.683E-3
46.2000E-3	1.08722E-9	5.80570E+0	456.337E-3	1.06191E-9	5.76275E+0	378.945E-3
