Experiment	bias spectroscopy	
Date	16.08.2023 18:20:17	
User		
X (m)	-637.401E-9	
Y (m)	648.752E-9	
Z (m)	-125.806E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-474.432E-12	4.78076E+0	-157.274E-3	-474.432E-12	4.78076E+0	-157.274E-3
-59.4000E-3	-467.548E-12	4.71728E+0	-168.924E-3	-467.377E-12	4.71040E+0	-153.637E-3
-58.8000E-3	-460.624E-12	4.63564E+0	-149.859E-3	-459.885E-12	4.64452E+0	-143.670E-3
-58.2000E-3	-452.335E-12	4.56716E+0	-120.399E-3	-450.785E-12	4.59238E+0	-130.332E-3
-57.6000E-3	-443.090E-12	4.54212E+0	-109.041E-3	-440.382E-12	4.56247E+0	-123.574E-3
-57.0000E-3	-425.267E-12	4.55082E+0	-122.473E-3	-428.066E-12	4.55218E+0	-127.212E-3
-56.4000E-3	-419.470E-12	4.55930E+0	-145.846E-3	-414.957E-12	4.54710E+0	-132.880E-3
-55.8000E-3	-397.799E-12	4.54708E+0	-145.924E-3	-403.451E-12	4.53075E+0	-128.169E-3
-55.2000E-3	-389.057E-12	4.51110E+0	-115.887E-3	-394.100E-12	4.49521E+0	-109.020E-3
-54.6000E-3	-393.559E-12	4.44743E+0	-74.1758E-3	-386.514E-12	4.44406E+0	-82.0865E-3
-54.0000E-3	-375.752E-12	4.37927E+0	-49.1672E-3	-379.151E-12	4.38647E+0	-58.8260E-3
-53.4000E-3	-373.480E-12	4.32716E+0	-37.8858E-3	-370.614E-12	4.33169E+0	-46.7837E-3
-52.8000E-3	-359.986E-12	4.27797E+0	-39.8546E-3	-360.572E-12	4.28647E+0	-45.7420E-3
-52.2000E-3	-351.502E-12	4.24124E+0	-53.2016E-3	-350.644E-12	4.25324E+0	-50.3901E-3
-51.6000E-3	-338.862E-12	4.22643E+0	-59.1601E-3	-340.681E-12	4.23137E+0	-54.9709E-3
-51.0000E-3	-330.644E-12	4.21636E+0	-58.9895E-3	-332.524E-12	4.21726E+0	-54.5992E-3
-50.4000E-3	-324.664E-12	4.20904E+0	-53.9378E-3	-325.898E-12	4.20304E+0	-47.2773E-3
-49.8000E-3	-321.880E-12	4.19375E+0	-35.8076E-3	-319.733E-12	4.18136E+0	-34.7501E-3
-49.2000E-3	-314.750E-12	4.15482E+0	-16.7762E-3	-312.135E-12	4.15046E+0	-20.6243E-3
-48.6000E-3	-303.101E-12	4.11030E+0	-5.06622E-3	-303.078E-12	4.11263E+0	-8.92313E-3
-48.0000E-3	-290.991E-12	4.07339E+0	1.43613E-3	-292.785E-12	4.07243E+0	-1.96251E-3
-47.4000E-3	-285.091E-12	4.03155E+0	2.17168E-3	-283.306E-12	4.03246E+0	1.83792E-3
-46.8000E-3	-270.142E-12	3.99380E+0	1.43122E-3	-275.118E-12	3.99193E+0	6.18477E-3
-46.2000E-3	-270.254E-12	3.95231E+0	9.54636E-3	-267.772E-12	3.95117E+0	13.8983E-3
-45.6000E-3	-261.956E-12	3.90538E+0	25.2342E-3	-260.754E-12	3.91393E+0	25.8876E-3
-45.0000E-3	-250.999E-12	3.87438E+0	39.8497E-3	-254.209E-12	3.88326E+0	41.0731E-3
-44.4000E-3	-248.640E-12	3.85973E+0	57.1564E-3	-247.811E-12	3.85987E+0	56.6406E-3
-43.8000E-3	-242.278E-12	3.84130E+0	75.4074E-3	-242.053E-12	3.84247E+0	68.9598E-3
-43.2000E-3	-236.380E-12	3.82335E+0	82.4620E-3	-235.844E-12	3.82962E+0	74.2740E-3
-42.6000E-3	-230.559E-12	3.81763E+0	76.9472E-3	-229.111E-12	3.82134E+0	70.4132E-3
-42.0000E-3	-219.154E-12	3.81725E+0	61.0754E-3	-221.843E-12	3.81724E+0	58.6870E-3
-41.4000E-3	-217.702E-12	3.81584E+0	41.9188E-3	-213.393E-12	3.81391E+0	43.5711E-3
-40.8000E-3	-204.931E-12	3.81323E+0	25.2612E-3	-203.981E-12	3.80639E+0	30.2002E-3
-40.2000E-3	-190.230E-12	3.79930E+0	16.3923E-3	-194.848E-12	3.79065E+0	22.9250E-3
-39.6000E-3	-186.287E-12	3.77197E+0	17.1737E-3	-186.525E-12	3.76484E+0	23.3367E-3
-39.0000E-3	-181.330E-12	3.73369E+0	28.9191E-3	-179.779E-12	3.73076E+0	30.0920E-3
-38.4000E-3	-171.917E-12	3.69003E+0	41.0489E-3	-172.851E-12	3.69395E+0	40.4846E-3
-37.8000E-3	-167.978E-12	3.65324E+0	51.1323E-3	-164.836E-12	3.65982E+0	53.1612E-3
-37.2000E-3	-154.323E-12	3.62866E+0	64.2051E-3	-156.168E-12	3.62966E+0	67.6401E-3
