Experiment	bias spectroscopy	
Date	16.08.2023 18:16:42	
User		
X (m)	-653.299E-9	
Y (m)	639.679E-9	
Z (m)	-125.818E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-477.544E-12	4.41143E+0	-369.494E-3	-477.544E-12	4.41143E+0	-369.494E-3
-59.4000E-3	-473.892E-12	4.58306E+0	-396.172E-3	-471.350E-12	4.53936E+0	-364.469E-3
-58.8000E-3	-460.840E-12	4.68534E+0	-355.269E-3	-466.381E-12	4.62107E+0	-337.225E-3
-58.2000E-3	-463.732E-12	4.68189E+0	-308.781E-3	-459.914E-12	4.63614E+0	-272.335E-3
-57.6000E-3	-459.990E-12	4.60773E+0	-191.334E-3	-453.390E-12	4.59949E+0	-184.252E-3
-57.0000E-3	-433.437E-12	4.52086E+0	-45.3340E-3	-445.933E-12	4.54417E+0	-112.587E-3
-56.4000E-3	-448.343E-12	4.48328E+0	-24.4498E-3	-441.523E-12	4.49830E+0	-88.2880E-3
-55.8000E-3	-427.243E-12	4.46413E+0	-119.088E-3	-440.212E-12	4.47313E+0	-105.147E-3
-55.2000E-3	-451.870E-12	4.45426E+0	-184.503E-3	-441.931E-12	4.47201E+0	-120.313E-3
-54.6000E-3	-440.345E-12	4.46832E+0	-129.908E-3	-439.976E-12	4.49395E+0	-100.665E-3
-54.0000E-3	-442.952E-12	4.53346E+0	-23.9749E-3	-434.905E-12	4.52822E+0	-56.5718E-3
-53.4000E-3	-420.229E-12	4.59384E+0	12.3815E-3	-424.207E-12	4.55865E+0	-19.8184E-3
-52.8000E-3	-415.619E-12	4.57582E+0	-7.96951E-3	-410.915E-12	4.58073E+0	-912.182E-6
-52.2000E-3	-397.379E-12	4.57034E+0	-13.5416E-3	-393.533E-12	4.60438E+0	10.8852E-3
-51.6000E-3	-375.028E-12	4.63564E+0	39.9281E-3	-376.921E-12	4.63907E+0	25.8507E-3
-51.0000E-3	-348.800E-12	4.70178E+0	54.2192E-3	-360.872E-12	4.67968E+0	43.6047E-3
-50.4000E-3	-359.588E-12	4.72438E+0	44.7421E-3	-347.664E-12	4.71081E+0	58.3711E-3
