Experiment	bias spectroscopy	
Date	16.08.2023 18:15:01	
User		
X (m)	-660.718E-9	
Y (m)	635.446E-9	
Z (m)	-125.769E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-483.777E-12	4.90161E+0	-270.253E-3	-483.777E-12	4.90161E+0	-270.253E-3
-59.4000E-3	-503.760E-12	4.86926E+0	-310.480E-3	-487.506E-12	4.86258E+0	-271.632E-3
-58.8000E-3	-483.702E-12	4.81511E+0	-276.502E-3	-486.871E-12	4.82785E+0	-246.594E-3
-58.2000E-3	-482.984E-12	4.79088E+0	-200.243E-3	-481.347E-12	4.80207E+0	-187.461E-3
-57.6000E-3	-471.057E-12	4.77929E+0	-104.513E-3	-474.849E-12	4.79061E+0	-108.329E-3
-57.0000E-3	-471.286E-12	4.78590E+0	-16.7967E-3	-469.809E-12	4.79619E+0	-30.3345E-3
-56.4000E-3	-466.623E-12	4.80627E+0	50.2809E-3	-464.439E-12	4.81689E+0	32.0426E-3
-55.8000E-3	-456.722E-12	4.84389E+0	89.1471E-3	-458.632E-12	4.85039E+0	69.8309E-3
-55.2000E-3	-453.726E-12	4.89176E+0	101.524E-3	-449.624E-12	4.89161E+0	80.1415E-3
-54.6000E-3	-444.639E-12	4.93834E+0	78.2451E-3	-437.695E-12	4.93421E+0	67.1386E-3
-54.0000E-3	-417.000E-12	4.97860E+0	36.8279E-3	-424.003E-12	4.96962E+0	38.8486E-3
-53.4000E-3	-409.668E-12	5.00923E+0	6.31305E-3	-410.051E-12	4.98679E+0	23.5101E-6
-52.8000E-3	-399.981E-12	5.00545E+0	-32.8591E-3	-396.402E-12	4.97147E+0	-46.9642E-3
-52.2000E-3	-383.117E-12	4.95211E+0	-103.597E-3	-382.497E-12	4.91333E+0	-95.6871E-3
-51.6000E-3	-366.114E-12	4.83301E+0	-161.994E-3	-369.171E-12	4.81438E+0	-131.484E-3
-51.0000E-3	-351.311E-12	4.68707E+0	-168.820E-3	-360.874E-12	4.69487E+0	-138.701E-3
-50.4000E-3	-354.953E-12	4.55062E+0	-127.169E-3	-355.601E-12	4.58561E+0	-117.836E-3
-49.8000E-3	-366.067E-12	4.47176E+0	-67.0317E-3	-350.292E-12	4.51115E+0	-86.3458E-3
-49.2000E-3	-333.775E-12	4.45954E+0	-47.9291E-3	-342.067E-12	4.47666E+0	-60.2544E-3
-48.6000E-3	-331.497E-12	4.46796E+0	-51.2782E-3	-331.046E-12	4.47091E+0	-41.7040E-3
-48.0000E-3	-323.294E-12	4.47802E+0	-31.4984E-3	-320.546E-12	4.47721E+0	-24.4816E-3
-47.4000E-3	-305.436E-12	4.48714E+0	1.22239E-3	-311.242E-12	4.47886E+0	-2.75810E-3
-46.8000E-3	-308.651E-12	4.49120E+0	20.3525E-3	-301.357E-12	4.46375E+0	25.2397E-3
-46.2000E-3	-286.738E-12	4.44293E+0	46.8599E-3	-290.389E-12	4.42573E+0	59.8988E-3
-45.6000E-3	-281.906E-12	4.36939E+0	100.337E-3	-278.495E-12	4.36911E+0	101.629E-3
-45.0000E-3	-264.566E-12	4.29824E+0	152.130E-3	-265.305E-12	4.30476E+0	144.980E-3
-44.4000E-3	-251.108E-12	4.24001E+0	195.449E-3	-253.463E-12	4.24543E+0	178.878E-3
-43.8000E-3	-240.792E-12	4.18460E+0	211.328E-3	-242.641E-12	4.19670E+0	192.678E-3
-43.2000E-3	-234.743E-12	4.15317E+0	200.305E-3	-234.073E-12	4.15767E+0	184.724E-3
