Experiment	bias spectroscopy	
Date	16.08.2023 18:24:51	
User		
X (m)	-617.263E-9	
Y (m)	660.243E-9	
Z (m)	-125.845E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-500.699E-12	4.27062E+0	41.0058E-3	-500.699E-12	4.27062E+0	41.0058E-3
-59.4000E-3	-498.677E-12	4.34336E+0	58.3097E-3	-490.104E-12	4.34686E+0	55.1864E-3
-58.8000E-3	-478.919E-12	4.42445E+0	77.0463E-3	-477.039E-12	4.42220E+0	59.8943E-3
-58.2000E-3	-455.431E-12	4.50250E+0	61.9234E-3	-461.778E-12	4.48967E+0	52.5958E-3
-57.6000E-3	-448.206E-12	4.56460E+0	31.2176E-3	-446.081E-12	4.53608E+0	37.9609E-3
-57.0000E-3	-434.576E-12	4.58052E+0	15.0227E-3	-433.021E-12	4.54723E+0	28.0329E-3
-56.4000E-3	-412.025E-12	4.54717E+0	15.0377E-3	-422.354E-12	4.51490E+0	31.1873E-3
-55.8000E-3	-418.686E-12	4.46481E+0	50.2769E-3	-413.620E-12	4.44368E+0	42.7252E-3
-55.2000E-3	-406.468E-12	4.34463E+0	68.8639E-3	-404.713E-12	4.35211E+0	51.9446E-3
-54.6000E-3	-397.413E-12	4.24000E+0	53.1788E-3	-396.378E-12	4.26142E+0	50.4645E-3
-54.0000E-3	-378.507E-12	4.17613E+0	43.7774E-3	-387.762E-12	4.18563E+0	37.1120E-3
-53.4000E-3	-387.733E-12	4.12064E+0	18.4790E-3	-379.689E-12	4.12664E+0	18.4246E-3
-52.8000E-3	-373.845E-12	4.07494E+0	-7.32582E-3	-371.844E-12	4.07856E+0	437.063E-6
-52.2000E-3	-354.971E-12	4.03425E+0	-15.6354E-3	-365.408E-12	4.03828E+0	-14.3817E-3
-51.6000E-3	-361.826E-12	3.99552E+0	-25.9709E-3	-359.946E-12	4.00819E+0	-24.7210E-3
-51.0000E-3	-361.173E-12	3.97977E+0	-34.2376E-3	-354.743E-12	3.99159E+0	-28.7519E-3
-50.4000E-3	-348.872E-12	3.98093E+0	-37.8058E-3	-349.018E-12	3.99080E+0	-25.5607E-3
-49.8000E-3	-334.467E-12	3.99529E+0	-13.6771E-3	-341.905E-12	4.00713E+0	-17.1070E-3
-49.2000E-3	-341.676E-12	4.02674E+0	1.34689E-3	-335.033E-12	4.03929E+0	-10.8191E-3
-48.6000E-3	-328.592E-12	4.08066E+0	-4.54747E-3	-327.829E-12	4.08155E+0	-13.3234E-3
-48.0000E-3	-317.966E-12	4.13737E+0	-24.1300E-3	-318.621E-12	4.12217E+0	-25.6382E-3
-47.4000E-3	-310.677E-12	4.16812E+0	-45.0045E-3	-308.615E-12	4.14874E+0	-40.9978E-3
-46.8000E-3	-293.055E-12	4.16686E+0	-60.3738E-3	-299.067E-12	4.15564E+0	-50.6825E-3
-46.2000E-3	-296.178E-12	4.14983E+0	-61.2469E-3	-290.456E-12	4.14685E+0	-48.9900E-3
-45.6000E-3	-278.051E-12	4.12929E+0	-40.5467E-3	-282.270E-12	4.13095E+0	-34.8019E-3
-45.0000E-3	-275.444E-12	4.11228E+0	-13.4329E-3	-275.263E-12	4.11665E+0	-11.8281E-3
-44.4000E-3	-267.963E-12	4.09907E+0	17.1314E-3	-267.714E-12	4.10955E+0	12.9606E-3
-43.8000E-3	-263.405E-12	4.10579E+0	41.4432E-3	-260.448E-12	4.11043E+0	32.9455E-3
