Experiment	bias spectroscopy	
Date	16.08.2023 18:22:55	
User		
X (m)	-625.742E-9	
Y (m)	655.405E-9	
Z (m)	-125.79E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-486.998E-12	4.82114E+0	-73.5921E-3	-486.998E-12	4.82114E+0	-73.5921E-3
-59.4000E-3	-503.842E-12	4.78050E+0	-105.579E-3	-481.167E-12	4.79805E+0	-89.0419E-3
-58.8000E-3	-468.074E-12	4.77160E+0	-105.556E-3	-472.218E-12	4.78616E+0	-94.2711E-3
-58.2000E-3	-445.917E-12	4.78914E+0	-89.2732E-3	-459.768E-12	4.78376E+0	-86.3883E-3
-57.6000E-3	-457.434E-12	4.79640E+0	-70.9161E-3	-446.935E-12	4.77801E+0	-72.2905E-3
-57.0000E-3	-440.701E-12	4.77135E+0	-51.5321E-3	-436.061E-12	4.75420E+0	-60.3440E-3
-56.4000E-3	-412.605E-12	4.72497E+0	-50.7540E-3	-426.717E-12	4.70658E+0	-53.3839E-3
-55.8000E-3	-418.002E-12	4.64515E+0	-53.2889E-3	-420.037E-12	4.64310E+0	-49.5706E-3
-55.2000E-3	-423.210E-12	4.55965E+0	-47.1222E-3	-415.156E-12	4.58239E+0	-47.9452E-3
-54.6000E-3	-413.926E-12	4.51261E+0	-40.1796E-3	-410.171E-12	4.54244E+0	-49.9788E-3
-54.0000E-3	-392.394E-12	4.51648E+0	-52.5013E-3	-402.404E-12	4.53012E+0	-56.9175E-3
-53.4000E-3	-402.168E-12	4.53938E+0	-74.0130E-3	-392.974E-12	4.53551E+0	-63.8123E-3
-52.8000E-3	-384.920E-12	4.55514E+0	-77.9597E-3	-382.304E-12	4.53963E+0	-61.0436E-3
-52.2000E-3	-365.312E-12	4.54665E+0	-53.7118E-3	-373.163E-12	4.52546E+0	-43.9285E-3
-51.6000E-3	-359.021E-12	4.50625E+0	-11.6685E-3	-364.927E-12	4.48540E+0	-19.3438E-3
-51.0000E-3	-370.549E-12	4.43175E+0	16.4999E-3	-358.177E-12	4.42349E+0	1.13599E-3
-50.4000E-3	-348.275E-12	4.34292E+0	15.2845E-3	-350.240E-12	4.35646E+0	11.4387E-3
-49.8000E-3	-336.589E-12	4.27324E+0	11.3750E-3	-340.096E-12	4.30391E+0	12.3264E-3
-49.2000E-3	-332.710E-12	4.26026E+0	13.5119E-3	-328.830E-12	4.27586E+0	7.30960E-3
-48.6000E-3	-317.498E-12	4.26928E+0	1.96680E-3	-318.774E-12	4.26918E+0	-1.42838E-3
-48.0000E-3	-306.403E-12	4.27068E+0	-14.8207E-3	-310.779E-12	4.27335E+0	-13.1688E-3
-47.4000E-3	-301.117E-12	4.28053E+0	-26.7379E-3	-303.711E-12	4.27926E+0	-25.9712E-3
-46.8000E-3	-306.978E-12	4.28711E+0	-38.6754E-3	-296.365E-12	4.28390E+0	-35.6454E-3
-46.2000E-3	-284.364E-12	4.28738E+0	-48.5356E-3	-287.045E-12	4.28668E+0	-37.9234E-3
-45.6000E-3	-272.822E-12	4.28821E+0	-39.8024E-3	-275.665E-12	4.28569E+0	-31.8497E-3
-45.0000E-3	-268.176E-12	4.28676E+0	-14.6922E-3	-263.140E-12	4.27723E+0	-21.9666E-3
-44.4000E-3	-249.523E-12	4.27159E+0	-4.40480E-3	-252.360E-12	4.25465E+0	-15.4729E-3
-43.8000E-3	-236.562E-12	4.22989E+0	-14.5914E-3	-243.782E-12	4.21259E+0	-15.4816E-3
-43.2000E-3	-239.571E-12	4.15953E+0	-24.7484E-3	-236.581E-12	4.15479E+0	-18.5067E-3
-42.6000E-3	-235.776E-12	4.07885E+0	-22.5222E-3	-229.376E-12	4.09354E+0	-19.6251E-3
-42.0000E-3	-217.253E-12	4.02691E+0	-15.4297E-3	-221.719E-12	4.04082E+0	-17.9477E-3
-41.4000E-3	-208.875E-12	3.99848E+0	-14.8197E-3	-214.140E-12	4.00149E+0	-14.2632E-3
-40.8000E-3	-213.433E-12	3.96908E+0	-14.9296E-3	-207.118E-12	3.97389E+0	-8.66170E-3
-40.2000E-3	-201.724E-12	3.94709E+0	-611.774E-6	-200.134E-12	3.95453E+0	118.413E-6
-39.6000E-3	-187.513E-12	3.93857E+0	11.1390E-3	-192.135E-12	3.94056E+0	12.4340E-3
-39.0000E-3	-185.634E-12	3.93379E+0	25.5675E-3	-184.144E-12	3.92711E+0	26.8666E-3
-38.4000E-3	-176.867E-12	3.91797E+0	43.1321E-3	-176.871E-12	3.90686E+0	41.4660E-3
-37.8000E-3	-170.785E-12	3.88401E+0	56.7373E-3	-170.151E-12	3.87516E+0	55.2749E-3
-37.2000E-3	-160.577E-12	3.83633E+0	68.5923E-3	-163.141E-12	3.83324E+0	67.0817E-3
-36.6000E-3	-158.991E-12	3.78403E+0	78.5207E-3	-155.948E-12	3.78818E+0	75.7695E-3
-36.0000E-3	-148.987E-12	3.73681E+0	84.6081E-3	-147.961E-12	3.74810E+0	80.6166E-3
-35.4000E-3	-137.778E-12	3.71043E+0	83.8061E-3	-139.440E-12	3.71594E+0	81.4276E-3
