Experiment	bias spectroscopy	
Date	16.08.2023 18:21:14	
User		
X (m)	-633.161E-9	
Y (m)	651.171E-9	
Z (m)	-125.841E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-502.663E-12	4.34474E+0	-102.676E-3	-502.663E-12	4.34474E+0	-102.676E-3
-59.4000E-3	-485.610E-12	4.37560E+0	-72.8844E-3	-496.755E-12	4.36013E+0	-71.4098E-3
-58.8000E-3	-502.881E-12	4.37015E+0	-43.3499E-3	-488.763E-12	4.37087E+0	-35.3038E-3
-58.2000E-3	-478.615E-12	4.37565E+0	442.189E-6	-481.251E-12	4.37128E+0	5.94589E-3
-57.6000E-3	-464.645E-12	4.37879E+0	57.8232E-3	-475.692E-12	4.36017E+0	46.0596E-3
-57.0000E-3	-473.424E-12	4.34155E+0	94.2716E-3	-471.132E-12	4.34315E+0	73.6153E-3
-56.4000E-3	-477.143E-12	4.30626E+0	97.9990E-3	-465.597E-12	4.32990E+0	76.6266E-3
-55.8000E-3	-458.424E-12	4.31767E+0	72.4503E-3	-456.593E-12	4.33093E+0	53.4871E-3
-55.2000E-3	-433.775E-12	4.34648E+0	8.82084E-3	-444.149E-12	4.34665E+0	15.1870E-3
-54.6000E-3	-439.589E-12	4.37568E+0	-38.5176E-3	-431.762E-12	4.36761E+0	-23.0426E-3
-54.0000E-3	-418.791E-12	4.38743E+0	-57.8540E-3	-419.984E-12	4.38449E+0	-50.8670E-3
-53.4000E-3	-407.025E-12	4.39838E+0	-70.2295E-3	-409.601E-12	4.39385E+0	-63.0915E-3
-52.8000E-3	-395.370E-12	4.40377E+0	-76.7154E-3	-400.050E-12	4.39596E+0	-58.1412E-3
-52.2000E-3	-397.288E-12	4.39236E+0	-50.5081E-3	-392.687E-12	4.39531E+0	-37.3629E-3
-51.6000E-3	-385.117E-12	4.38575E+0	1.49342E-3	-384.587E-12	4.39743E+0	-8.51279E-3
-51.0000E-3	-376.188E-12	4.40260E+0	32.2863E-3	-375.339E-12	4.40393E+0	14.6437E-3
-50.4000E-3	-363.256E-12	4.42261E+0	35.0225E-3	-364.181E-12	4.40971E+0	20.4944E-3
-49.8000E-3	-355.960E-12	4.41811E+0	16.5353E-3	-354.251E-12	4.40619E+0	8.07185E-3
-49.2000E-3	-337.747E-12	4.39590E+0	-16.5780E-3	-346.230E-12	4.38913E+0	-14.2825E-3
-48.6000E-3	-343.549E-12	4.36440E+0	-44.0196E-3	-340.500E-12	4.36200E+0	-36.5107E-3
-48.0000E-3	-337.343E-12	4.32828E+0	-59.6353E-3	-336.092E-12	4.33183E+0	-51.6414E-3
-47.4000E-3	-329.266E-12	4.29902E+0	-62.3884E-3	-331.826E-12	4.30617E+0	-56.8257E-3
-46.8000E-3	-329.705E-12	4.27790E+0	-58.3593E-3	-325.976E-12	4.29294E+0	-51.8605E-3
-46.2000E-3	-319.870E-12	4.28040E+0	-45.3162E-3	-318.145E-12	4.29835E+0	-39.9789E-3
-45.6000E-3	-310.432E-12	4.31214E+0	-17.9867E-3	-308.474E-12	4.32181E+0	-28.7117E-3
-45.0000E-3	-294.187E-12	4.36060E+0	-10.7071E-3	-297.309E-12	4.35373E+0	-27.0727E-3
-44.4000E-3	-288.040E-12	4.39755E+0	-31.1813E-3	-286.923E-12	4.37990E+0	-39.9144E-3
-43.8000E-3	-275.074E-12	4.40371E+0	-63.8524E-3	-276.926E-12	4.39170E+0	-62.4973E-3
-43.2000E-3	-270.080E-12	4.39010E+0	-96.7361E-3	-267.808E-12	4.39105E+0	-83.1170E-3
-42.6000E-3	-255.661E-12	4.38111E+0	-104.417E-3	-259.015E-12	4.38502E+0	-92.7315E-3
-42.0000E-3	-251.737E-12	4.38137E+0	-93.7240E-3	-250.346E-12	4.37712E+0	-89.3428E-3
-41.4000E-3	-244.057E-12	4.37390E+0	-79.2681E-3	-241.361E-12	4.36553E+0	-76.1625E-3
-40.8000E-3	-228.892E-12	4.35102E+0	-59.4571E-3	-231.275E-12	4.34774E+0	-56.7888E-3
-40.2000E-3	-224.162E-12	4.32439E+0	-37.6538E-3	-219.655E-12	4.32424E+0	-33.2470E-3
-39.6000E-3	-205.293E-12	4.29922E+0	-5.52075E-3	-207.460E-12	4.29522E+0	-8.50953E-3
-39.0000E-3	-193.857E-12	4.27048E+0	21.5437E-3	-196.036E-12	4.25715E+0	11.8464E-3
-38.4000E-3	-185.361E-12	4.21918E+0	32.3896E-3	-186.032E-12	4.20506E+0	22.8939E-3
-37.8000E-3	-176.836E-12	4.14497E+0	28.2634E-3	-177.827E-12	4.13905E+0	24.2261E-3
-37.2000E-3	-171.501E-12	4.06127E+0	16.9879E-3	-170.134E-12	4.06565E+0	21.2919E-3
-36.6000E-3	-161.931E-12	3.98658E+0	13.9753E-3	-162.491E-12	3.99367E+0	19.9906E-3
-36.0000E-3	-154.371E-12	3.92353E+0	22.6244E-3	-154.911E-12	3.92885E+0	22.4211E-3
-35.4000E-3	-147.779E-12	3.86703E+0	28.8499E-3	-147.869E-12	3.87272E+0	27.9031E-3
-34.8000E-3	-140.022E-12	3.81955E+0	31.5717E-3	-141.260E-12	3.82409E+0	35.8874E-3
-34.2000E-3	-136.897E-12	3.77925E+0	42.6660E-3	-134.204E-12	3.78159E+0	46.6941E-3
-33.6000E-3	-126.945E-12	3.74103E+0	61.4298E-3	-126.246E-12	3.74302E+0	59.6873E-3
-33.0000E-3	-116.357E-12	3.70796E+0	76.3068E-3	-117.850E-12	3.70360E+0	71.8959E-3
-32.4000E-3	-108.954E-12	3.66942E+0	83.9172E-3	-109.864E-12	3.65690E+0	80.3086E-3
-31.8000E-3	-102.441E-12	3.60925E+0	85.8434E-3	-103.093E-12	3.59741E+0	84.3306E-3
-31.2000E-3	-97.2276E-12	3.53157E+0	86.1326E-3	-97.3045E-12	3.52344E+0	85.1357E-3
-30.6000E-3	-91.6065E-12	3.44166E+0	85.3025E-3	-91.8032E-12	3.43901E+0	83.5015E-3
-30.0000E-3	-87.0527E-12	3.34683E+0	81.7927E-3	-86.1344E-12	3.35125E+0	80.6240E-3
-29.4000E-3	-80.2738E-12	3.26074E+0	74.3116E-3	-80.2696E-12	3.26482E+0	77.9885E-3
-28.8000E-3	-73.3677E-12	3.18309E+0	75.3975E-3	-74.4796E-12	3.17962E+0	77.2644E-3
-28.2000E-3	-69.1733E-12	3.09844E+0	78.1006E-3	-69.0807E-12	3.09205E+0	78.9684E-3
-27.6000E-3	-63.8958E-12	3.00311E+0	82.2916E-3	-64.2034E-12	2.99880E+0	81.8771E-3
-27.0000E-3	-59.5363E-12	2.90155E+0	86.5086E-3	-59.5615E-12	2.89992E+0	83.6869E-3
-26.4000E-3	-55.2338E-12	2.79775E+0	85.4199E-3	-54.9913E-12	2.79762E+0	83.4017E-3
-25.8000E-3	-50.0040E-12	2.69481E+0	80.8883E-3	-50.4810E-12	2.69296E+0	81.5372E-3
-25.2000E-3	-46.3638E-12	2.58945E+0	77.7696E-3	-46.1259E-12	2.58500E+0	79.6419E-3
-24.6000E-3	-41.3771E-12	2.47666E+0	78.0859E-3	-41.9659E-12	2.47236E+0	78.9110E-3
-24.0000E-3	-38.2147E-12	2.35701E+0	79.6082E-3	-38.0679E-12	2.35506E+0	78.5741E-3
-23.4000E-3	-34.1588E-12	2.23452E+0	80.1166E-3	-34.3168E-12	2.23471E+0	77.3127E-3
-22.8000E-3	-30.6424E-12	2.11310E+0	74.3354E-3	-30.8677E-12	2.11304E+0	74.7241E-3
-22.2000E-3	-27.2125E-12	1.99180E+0	70.3609E-3	-27.6338E-12	1.99093E+0	71.3068E-3
-21.6000E-3	-24.9038E-12	1.86841E+0	68.7177E-3	-24.7103E-12	1.86887E+0	67.2624E-3
-21.0000E-3	-21.6642E-12	1.74575E+0	64.1381E-3	-21.9580E-12	1.74804E+0	63.1034E-3
-20.4000E-3	-19.4036E-12	1.62636E+0	56.2880E-3	-19.3871E-12	1.63049E+0	59.3841E-3
-19.8000E-3	-16.6734E-12	1.51327E+0	55.5764E-3	-16.9452E-12	1.51837E+0	56.9274E-3
-19.2000E-3	-14.7494E-12	1.40795E+0	56.4638E-3	-14.6529E-12	1.41334E+0	56.0139E-3
-18.6000E-3	-12.4094E-12	1.30999E+0	55.7243E-3	-12.4278E-12	1.31683E+0	56.2640E-3
-18.0000E-3	-10.1123E-12	1.22220E+0	56.0560E-3	-10.2861E-12	1.23002E+0	56.9627E-3
-17.4000E-3	-8.21904E-12	1.14645E+0	58.4360E-3	-8.17904E-12	1.15368E+0	57.8924E-3
-16.8000E-3	-6.17576E-12	1.08101E+0	59.4290E-3	-6.14629E-12	1.08839E+0	58.5654E-3
-16.2000E-3	-3.98811E-12	1.02585E+0	59.2178E-3	-4.05928E-12	1.03487E+0	58.6036E-3
-15.6000E-3	-2.28096E-12	984.107E-3	57.6203E-3	-1.88416E-12	994.343E-3	58.6263E-3
-15.0000E-3	622.885E-15	957.580E-3	57.4356E-3	464.023E-15	968.860E-3	59.1152E-3
-14.4000E-3	2.63271E-12	946.642E-3	61.8265E-3	3.00310E-12	961.055E-3	59.9387E-3
-13.8000E-3	5.70433E-12	957.295E-3	61.0030E-3	5.80363E-12	973.508E-3	59.9829E-3
-13.2000E-3	8.61436E-12	992.498E-3	60.1718E-3	8.84080E-12	1.00840E+0	59.0526E-3
-12.6000E-3	12.0169E-12	1.05018E+0	55.4544E-3	12.1918E-12	1.06685E+0	57.9842E-3
-12.0000E-3	15.5806E-12	1.13310E+0	56.7248E-3	15.9171E-12	1.14879E+0	57.4841E-3
-11.4000E-3	19.5538E-12	1.23891E+0	59.8773E-3	20.2967E-12	1.25435E+0	57.7266E-3
-10.8000E-3	24.6928E-12	1.36570E+0	56.0905E-3	25.2781E-12	1.38553E+0	59.1897E-3
-10.2000E-3	31.2738E-12	1.52143E+0	59.7374E-3	31.0330E-12	1.54630E+0	61.7054E-3
-9.60000E-3	35.9919E-12	1.71456E+0	67.4635E-3	37.4256E-12	1.74086E+0	64.6575E-3
-9.00000E-3	44.7817E-12	1.94737E+0	68.5801E-3	44.5936E-12	1.97094E+0	67.0162E-3
-8.40000E-3	51.5059E-12	2.21485E+0	67.7088E-3	52.3569E-12	2.23489E+0	67.5675E-3
-7.80000E-3	60.9789E-12	2.51095E+0	67.6303E-3	60.5552E-12	2.52973E+0	66.0139E-3
-7.20000E-3	68.8189E-12	2.83396E+0	65.0109E-3	69.1152E-12	2.85142E+0	62.7408E-3
-6.60000E-3	76.8398E-12	3.18572E+0	57.5887E-3	78.3185E-12	3.19299E+0	58.9006E-3
-6.00000E-3	88.4013E-12	3.54848E+0	52.1575E-3	87.7516E-12	3.54363E+0	56.6605E-3
-5.40000E-3	98.4424E-12	3.90227E+0	55.0764E-3	97.6505E-12	3.89108E+0	58.2714E-3
-4.80000E-3	105.386E-12	4.23860E+0	61.9390E-3	107.857E-12	4.22504E+0	64.5958E-3
-4.20000E-3	119.513E-12	4.55561E+0	72.8181E-3	119.280E-12	4.54003E+0	73.8933E-3
-3.60000E-3	129.281E-12	4.84824E+0	87.0019E-3	132.785E-12	4.83483E+0	82.6563E-3
-3.00000E-3	147.721E-12	5.12113E+0	93.1893E-3	147.595E-12	5.11223E+0	88.6941E-3
-2.40000E-3	166.184E-12	5.37963E+0	90.0899E-3	162.571E-12	5.37795E+0	92.9129E-3
-1.80000E-3	174.750E-12	5.63744E+0	92.9779E-3	176.862E-12	5.63660E+0	100.119E-3
-1.20000E-3	191.693E-12	5.89746E+0	105.775E-3	191.552E-12	5.88592E+0	114.849E-3
-600.000E-6	202.948E-12	6.14157E+0	135.719E-3	207.213E-12	6.11800E+0	136.608E-3
-6.93889E-18	227.977E-12	6.34561E+0	166.398E-3	223.196E-12	6.32447E+0	159.334E-3
600.000E-6	240.168E-12	6.51946E+0	184.859E-3	238.134E-12	6.49979E+0	175.985E-3
1.20000E-3	248.639E-12	6.66843E+0	189.650E-3	253.213E-12	6.63680E+0	182.333E-3
1.80000E-3	267.056E-12	6.77392E+0	183.497E-3	268.840E-12	6.72566E+0	176.770E-3
2.40000E-3	289.193E-12	6.80013E+0	170.564E-3	284.921E-12	6.76303E+0	159.284E-3
3.00000E-3	302.036E-12	6.76413E+0	136.268E-3	300.790E-12	6.76065E+0	133.645E-3
3.60000E-3	311.175E-12	6.73140E+0	95.7213E-3	315.696E-12	6.73649E+0	108.174E-3
4.20000E-3	333.700E-12	6.71625E+0	78.7858E-3	330.217E-12	6.69875E+0	89.5829E-3
4.80000E-3	345.291E-12	6.67097E+0	82.3739E-3	343.647E-12	6.64124E+0	73.8582E-3
5.40000E-3	357.330E-12	6.57547E+0	74.5141E-3	354.483E-12	6.55573E+0	48.5158E-3
6.00000E-3	363.743E-12	6.45075E+0	17.0271E-3	363.197E-12	6.43881E+0	7.16426E-3
6.60000E-3	367.383E-12	6.31985E+0	-57.4408E-3	371.012E-12	6.29066E+0	-39.4367E-3
7.20000E-3	383.176E-12	6.13671E+0	-100.666E-3	379.665E-12	6.11458E+0	-70.4068E-3
7.80000E-3	384.200E-12	5.91356E+0	-94.3584E-3	389.148E-12	5.91893E+0	-72.9791E-3
8.40000E-3	402.442E-12	5.70924E+0	-52.3308E-3	400.539E-12	5.71855E+0	-50.9980E-3
9.00000E-3	408.863E-12	5.51547E+0	-15.5016E-3	412.440E-12	5.52706E+0	-17.9712E-3
9.60000E-3	429.695E-12	5.34280E+0	18.9412E-3	424.111E-12	5.35057E+0	17.9685E-3
10.2000E-3	435.033E-12	5.17647E+0	46.2989E-3	433.588E-12	5.18723E+0	57.2429E-3
10.8000E-3	439.761E-12	5.03249E+0	96.5048E-3	442.595E-12	5.03192E+0	103.579E-3
11.4000E-3	449.557E-12	4.88649E+0	157.704E-3	452.142E-12	4.88384E+0	154.606E-3
12.0000E-3	464.467E-12	4.72140E+0	214.124E-3	463.677E-12	4.75283E+0	200.193E-3
12.6000E-3	476.395E-12	4.61324E+0	251.495E-3	474.303E-12	4.65257E+0	229.508E-3
13.2000E-3	488.418E-12	4.57118E+0	247.360E-3	482.525E-12	4.58638E+0	245.241E-3
13.8000E-3	484.300E-12	4.55215E+0	236.326E-3	486.715E-12	4.53727E+0	260.525E-3
14.4000E-3	493.780E-12	4.50829E+0	276.230E-3	486.039E-12	4.48058E+0	284.192E-3
15.0000E-3	485.039E-12	4.41042E+0	329.963E-3	481.698E-12	4.40881E+0	305.961E-3
15.6000E-3	468.417E-12	4.31165E+0	347.104E-3	477.343E-12	4.33729E+0	306.608E-3
16.2000E-3	472.547E-12	4.25613E+0	286.198E-3	478.281E-12	4.28727E+0	278.378E-3
16.8000E-3	479.032E-12	4.25300E+0	220.674E-3	486.244E-12	4.26704E+0	237.179E-3
17.4000E-3	506.406E-12	4.26969E+0	182.206E-3	501.432E-12	4.26702E+0	205.652E-3
18.0000E-3	509.989E-12	4.27808E+0	184.726E-3	520.467E-12	4.27317E+0	196.025E-3
18.6000E-3	546.104E-12	4.27695E+0	201.334E-3	541.180E-12	4.27863E+0	205.600E-3
19.2000E-3	565.880E-12	4.27931E+0	220.104E-3	557.616E-12	4.28939E+0	226.277E-3
19.8000E-3	576.313E-12	4.29188E+0	254.078E-3	568.577E-12	4.31652E+0	245.150E-3
20.4000E-3	567.573E-12	4.34918E+0	278.556E-3	574.438E-12	4.36965E+0	251.183E-3
21.0000E-3	577.860E-12	4.43274E+0	246.997E-3	579.941E-12	4.45048E+0	239.287E-3
21.6000E-3	590.444E-12	4.54670E+0	210.592E-3	588.007E-12	4.54983E+0	211.613E-3
22.2000E-3	593.169E-12	4.66805E+0	181.153E-3	597.813E-12	4.65092E+0	176.588E-3
22.8000E-3	612.367E-12	4.75662E+0	137.022E-3	606.450E-12	4.74291E+0	146.562E-3
23.4000E-3	615.177E-12	4.81941E+0	105.550E-3	615.539E-12	4.82802E+0	128.855E-3
24.0000E-3	616.009E-12	4.89842E+0	122.055E-3	628.310E-12	4.90963E+0	120.106E-3
24.6000E-3	644.613E-12	5.01354E+0	137.015E-3	643.783E-12	4.97574E+0	101.859E-3
25.2000E-3	670.982E-12	5.06415E+0	92.9133E-3	658.955E-12	5.00573E+0	53.8497E-3
25.8000E-3	671.352E-12	5.00583E+0	-21.2095E-3	674.203E-12	4.99420E+0	-21.3625E-3
26.4000E-3	673.329E-12	4.93747E+0	-137.703E-3	687.948E-12	4.96741E+0	-95.3529E-3
27.0000E-3	720.216E-12	4.91526E+0	-175.786E-3	702.160E-12	4.97217E+0	-137.399E-3
27.6000E-3	711.473E-12	4.98109E+0	-155.185E-3	712.884E-12	5.03649E+0	-144.423E-3
28.2000E-3	725.209E-12	5.14776E+0	-110.945E-3	721.595E-12	5.15101E+0	-136.298E-3
28.8000E-3	714.663E-12	5.30722E+0	-126.362E-3	731.837E-12	5.27761E+0	-124.880E-3
29.4000E-3	749.254E-12	5.42462E+0	-146.774E-3	748.286E-12	5.37686E+0	-101.021E-3
30.0000E-3	776.042E-12	5.45735E+0	-73.6983E-3	764.483E-12	5.43458E+0	-57.2833E-3
30.6000E-3	781.154E-12	5.45317E+0	29.0808E-3	774.334E-12	5.47147E+0	-7.84720E-3
31.2000E-3	779.828E-12	5.48177E+0	63.0357E-3	778.083E-12	5.51311E+0	16.7058E-3
31.8000E-3	765.627E-12	5.57620E+0	20.0467E-3	781.298E-12	5.56519E+0	-4.42406E-3
32.4000E-3	795.251E-12	5.64737E+0	-52.0987E-3	790.524E-12	5.60556E+0	-68.8166E-3
33.0000E-3	797.611E-12	5.64994E+0	-146.332E-3	800.890E-12	5.61067E+0	-159.368E-3
33.6000E-3	826.070E-12	5.58394E+0	-270.136E-3	811.109E-12	5.58072E+0	-249.423E-3
34.2000E-3	803.699E-12	5.51728E+0	-366.807E-3	820.248E-12	5.54016E+0	-303.437E-3
34.8000E-3	830.557E-12	5.49306E+0	-360.179E-3	832.581E-12	5.51977E+0	-298.030E-3
35.4000E-3	853.723E-12	5.49963E+0	-238.654E-3	843.121E-12	5.54098E+0	-251.483E-3
36.0000E-3	860.981E-12	5.57612E+0	-137.080E-3	855.281E-12	5.60268E+0	-214.338E-3
36.6000E-3	842.509E-12	5.70412E+0	-183.113E-3	865.527E-12	5.68451E+0	-223.225E-3
37.2000E-3	894.842E-12	5.78791E+0	-293.130E-3	878.170E-12	5.76314E+0	-261.270E-3
37.8000E-3	887.465E-12	5.82667E+0	-351.210E-3	894.759E-12	5.82894E+0	-274.779E-3
38.4000E-3	905.862E-12	5.87325E+0	-273.915E-3	914.602E-12	5.89768E+0	-235.868E-3
39.0000E-3	943.160E-12	5.95300E+0	-121.666E-3	933.994E-12	5.99192E+0	-173.482E-3
39.6000E-3	955.109E-12	6.10712E+0	-72.7757E-3	950.598E-12	6.10944E+0	-144.788E-3
40.2000E-3	970.462E-12	6.27034E+0	-137.182E-3	962.482E-12	6.22516E+0	-183.531E-3
40.8000E-3	956.769E-12	6.34250E+0	-276.467E-3	969.240E-12	6.30595E+0	-280.158E-3
41.4000E-3	987.819E-12	6.37601E+0	-409.112E-3	974.739E-12	6.32322E+0	-402.622E-3
42.0000E-3	975.357E-12	6.33252E+0	-527.259E-3	980.987E-12	6.26743E+0	-517.957E-3
42.6000E-3	980.197E-12	6.17205E+0	-653.638E-3	989.210E-12	6.16239E+0	-604.402E-3
43.2000E-3	1.00772E-9	5.98744E+0	-677.349E-3	1.00038E-9	6.05706E+0	-658.212E-3
43.8000E-3	1.00525E-9	5.93272E+0	-674.736E-3	1.01442E-9	6.00048E+0	-693.561E-3
44.4000E-3	1.03787E-9	5.99062E+0	-711.844E-3	1.03291E-9	6.00511E+0	-722.385E-3
45.0000E-3	1.03812E-9	6.06158E+0	-780.269E-3	1.05291E-9	6.04583E+0	-745.991E-3
45.6000E-3	1.09212E-9	6.09590E+0	-774.409E-3	1.06993E-9	6.08546E+0	-758.201E-3
