Experiment	bias spectroscopy	
Date	16.08.2023 18:13:49	
User		
X (m)	-666.017E-9	
Y (m)	632.422E-9	
Z (m)	-125.803E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-519.048E-12	4.40877E+0	-139.093E-3	-519.048E-12	4.40877E+0	-139.093E-3
-59.4000E-3	-503.795E-12	4.47968E+0	-88.3506E-3	-509.851E-12	4.46169E+0	-109.154E-3
-58.8000E-3	-506.750E-12	4.53130E+0	-77.0188E-3	-501.560E-12	4.48806E+0	-91.7169E-3
-58.2000E-3	-488.959E-12	4.50131E+0	-89.6738E-3	-493.306E-12	4.47811E+0	-83.8074E-3
-57.6000E-3	-491.905E-12	4.43951E+0	-95.7456E-3	-486.709E-12	4.44674E+0	-73.2630E-3
-57.0000E-3	-469.133E-12	4.38260E+0	-52.4157E-3	-480.561E-12	4.42794E+0	-51.7103E-3
-56.4000E-3	-484.992E-12	4.40212E+0	-17.7852E-3	-475.505E-12	4.44917E+0	-27.3558E-3
-55.8000E-3	-469.835E-12	4.50802E+0	9.57379E-3	-466.049E-12	4.50525E+0	-13.6432E-3
-55.2000E-3	-458.807E-12	4.60311E+0	-10.1100E-3	-453.785E-12	4.56246E+0	-18.9114E-3
-54.6000E-3	-427.898E-12	4.63156E+0	-36.6924E-3	-440.243E-12	4.58228E+0	-41.2827E-3
-54.0000E-3	-429.752E-12	4.58122E+0	-66.6230E-3	-431.244E-12	4.55659E+0	-77.8385E-3
-53.4000E-3	-427.116E-12	4.48075E+0	-116.964E-3	-424.383E-12	4.51343E+0	-121.135E-3
-52.8000E-3	-423.557E-12	4.44496E+0	-180.331E-3	-418.681E-12	4.48976E+0	-159.149E-3
-52.2000E-3	-403.824E-12	4.48558E+0	-207.001E-3	-410.777E-12	4.50319E+0	-170.815E-3
-51.6000E-3	-407.949E-12	4.54803E+0	-182.100E-3	-401.729E-12	4.54580E+0	-140.265E-3
-51.0000E-3	-392.270E-12	4.60186E+0	-82.2629E-3	-391.885E-12	4.59650E+0	-76.9569E-3
-50.4000E-3	-378.581E-12	4.64935E+0	32.0118E-3	-381.972E-12	4.63576E+0	-13.1696E-3
-49.8000E-3	-373.056E-12	4.68352E+0	59.4114E-3	-372.452E-12	4.64864E+0	24.4208E-3
-49.2000E-3	-362.286E-12	4.65714E+0	25.5614E-3	-365.334E-12	4.62649E+0	32.0179E-3
-48.6000E-3	-359.536E-12	4.58106E+0	17.5047E-3	-358.828E-12	4.57259E+0	23.7067E-3
-48.0000E-3	-356.304E-12	4.49576E+0	22.3064E-3	-350.683E-12	4.50890E+0	14.3927E-3
-47.4000E-3	-340.701E-12	4.42223E+0	3.89854E-3	-340.068E-12	4.46589E+0	10.9609E-3
-46.8000E-3	-326.188E-12	4.42706E+0	-2.65959E-3	-327.550E-12	4.45513E+0	16.2856E-3
-46.2000E-3	-313.891E-12	4.48836E+0	28.4304E-3	-314.044E-12	4.45959E+0	32.5962E-3
-45.6000E-3	-303.575E-12	4.49010E+0	62.2757E-3	-301.131E-12	4.45169E+0	56.1547E-3
-45.0000E-3	-284.257E-12	4.42302E+0	84.4230E-3	-288.303E-12	4.41939E+0	78.2897E-3
-44.4000E-3	-278.138E-12	4.35500E+0	97.1785E-3	-275.767E-12	4.37504E+0	93.2756E-3
