Experiment	bias spectroscopy	
Date	16.08.2023 18:18:22	
User		
X (m)	-645.88E-9	
Y (m)	643.913E-9	
Z (m)	-125.778E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-522.844E-12	5.26174E+0	-67.2491E-3	-522.844E-12	5.26174E+0	-67.2491E-3
-59.4000E-3	-496.259E-12	5.27529E+0	-90.3681E-3	-507.545E-12	5.26655E+0	-81.2871E-3
-58.8000E-3	-496.638E-12	5.27466E+0	-92.8822E-3	-495.259E-12	5.26260E+0	-90.9607E-3
-58.2000E-3	-487.046E-12	5.25420E+0	-98.9311E-3	-487.533E-12	5.24746E+0	-92.8728E-3
-57.6000E-3	-479.195E-12	5.22159E+0	-93.8299E-3	-482.144E-12	5.22432E+0	-85.1204E-3
-57.0000E-3	-478.505E-12	5.19852E+0	-76.8630E-3	-476.349E-12	5.19620E+0	-66.4194E-3
-56.4000E-3	-472.994E-12	5.17275E+0	-41.9271E-3	-468.407E-12	5.16384E+0	-36.5197E-3
-55.8000E-3	-460.873E-12	5.12778E+0	658.748E-6	-456.355E-12	5.12665E+0	-1.36887E-3
-55.2000E-3	-439.720E-12	5.08480E+0	42.1892E-3	-440.435E-12	5.08429E+0	30.1037E-3
-54.6000E-3	-421.914E-12	5.04270E+0	62.2629E-3	-424.253E-12	5.03574E+0	51.5449E-3
-54.0000E-3	-405.758E-12	4.99038E+0	63.5364E-3	-411.191E-12	4.97806E+0	62.0701E-3
-53.4000E-3	-400.403E-12	4.91694E+0	67.7163E-3	-400.696E-12	4.90864E+0	63.4267E-3
-52.8000E-3	-397.565E-12	4.83039E+0	65.6040E-3	-390.566E-12	4.83041E+0	57.8128E-3
-52.2000E-3	-376.187E-12	4.74461E+0	48.0882E-3	-380.176E-12	4.74995E+0	47.0791E-3
-51.6000E-3	-365.969E-12	4.66895E+0	30.5316E-3	-369.511E-12	4.67387E+0	31.6395E-3
-51.0000E-3	-364.053E-12	4.59871E+0	19.5131E-3	-360.074E-12	4.60592E+0	12.3174E-3
-50.4000E-3	-348.510E-12	4.54005E+0	-8.46395E-3	-351.760E-12	4.54775E+0	-6.65399E-3
-49.8000E-3	-345.144E-12	4.49280E+0	-37.5784E-3	-343.514E-12	4.50074E+0	-18.6998E-3
-49.2000E-3	-334.369E-12	4.45593E+0	-28.8483E-3	-335.342E-12	4.46609E+0	-19.5435E-3
-48.6000E-3	-327.324E-12	4.43598E+0	-5.78028E-3	-327.605E-12	4.44367E+0	-10.8479E-3
-48.0000E-3	-321.042E-12	4.42696E+0	3.71326E-3	-318.663E-12	4.43033E+0	313.175E-6
-47.4000E-3	-310.408E-12	4.42489E+0	9.38834E-3	-309.045E-12	4.41840E+0	8.39985E-3
-46.8000E-3	-295.630E-12	4.41347E+0	13.9200E-3	-300.173E-12	4.39805E+0	15.0296E-3
-46.2000E-3	-290.063E-12	4.37550E+0	18.1284E-3	-293.612E-12	4.36460E+0	22.1258E-3
-45.6000E-3	-291.390E-12	4.31814E+0	34.7447E-3	-288.391E-12	4.32231E+0	28.0192E-3
-45.0000E-3	-286.898E-12	4.26964E+0	36.3867E-3	-282.109E-12	4.28122E+0	31.6455E-3
-44.4000E-3	-272.621E-12	4.24137E+0	27.0619E-3	-272.871E-12	4.25025E+0	34.4642E-3
-43.8000E-3	-261.577E-12	4.22465E+0	35.4172E-3	-261.934E-12	4.23086E+0	39.4053E-3
