Experiment	bias spectroscopy	
Date	16.08.2023 18:19:19	
User		
X (m)	-641.64E-9	
Y (m)	646.332E-9	
Z (m)	-125.785E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-503.820E-12	4.85408E+0	47.5931E-3	-503.820E-12	4.85408E+0	47.5931E-3
-59.4000E-3	-498.591E-12	4.90022E+0	59.7857E-3	-495.853E-12	4.90808E+0	56.0246E-3
-58.8000E-3	-486.347E-12	4.96457E+0	64.8605E-3	-486.612E-12	4.96159E+0	60.5802E-3
-58.2000E-3	-478.472E-12	5.02432E+0	65.5687E-3	-474.796E-12	5.00557E+0	56.8212E-3
-57.6000E-3	-461.997E-12	5.05814E+0	53.0532E-3	-464.133E-12	5.02249E+0	45.1649E-3
-57.0000E-3	-443.649E-12	5.03548E+0	21.0364E-3	-453.900E-12	4.99811E+0	31.6824E-3
-56.4000E-3	-460.737E-12	4.95212E+0	11.9115E-3	-443.660E-12	4.93310E+0	21.7217E-3
-55.8000E-3	-425.582E-12	4.84059E+0	23.3480E-3	-431.099E-12	4.84178E+0	14.1982E-3
-55.2000E-3	-417.202E-12	4.73545E+0	15.0649E-3	-418.237E-12	4.74331E+0	5.29305E-3
-54.6000E-3	-400.222E-12	4.64284E+0	-14.5055E-3	-406.834E-12	4.65240E+0	-5.22292E-3
-54.0000E-3	-401.138E-12	4.56260E+0	-24.1968E-3	-399.470E-12	4.57820E+0	-10.5930E-3
-53.4000E-3	-396.168E-12	4.50449E+0	-11.3427E-3	-392.959E-12	4.52511E+0	-4.40878E-3
-52.8000E-3	-382.602E-12	4.48255E+0	10.5981E-3	-385.785E-12	4.49090E+0	10.4662E-3
-52.2000E-3	-381.586E-12	4.47422E+0	34.6580E-3	-377.750E-12	4.46652E+0	24.1907E-3
-51.6000E-3	-365.989E-12	4.44843E+0	39.7262E-3	-368.212E-12	4.44359E+0	30.7919E-3
-51.0000E-3	-363.531E-12	4.41203E+0	27.1578E-3	-359.216E-12	4.42116E+0	31.8135E-3
-50.4000E-3	-341.467E-12	4.39341E+0	26.2086E-3	-351.273E-12	4.40452E+0	32.8332E-3
-49.8000E-3	-348.352E-12	4.39394E+0	36.7388E-3	-345.103E-12	4.39820E+0	37.6525E-3
-49.2000E-3	-343.448E-12	4.39731E+0	47.6943E-3	-339.386E-12	4.40273E+0	45.6170E-3
-48.6000E-3	-329.045E-12	4.40797E+0	53.5993E-3	-333.800E-12	4.41671E+0	53.7565E-3
-48.0000E-3	-329.172E-12	4.43432E+0	61.2756E-3	-326.949E-12	4.43826E+0	59.9572E-3
-47.4000E-3	-321.542E-12	4.46701E+0	68.1176E-3	-319.307E-12	4.46314E+0	62.9254E-3
-46.8000E-3	-311.414E-12	4.49321E+0	64.8203E-3	-311.119E-12	4.48347E+0	61.8929E-3
-46.2000E-3	-299.321E-12	4.50518E+0	57.6185E-3	-301.022E-12	4.49116E+0	56.4944E-3
-45.6000E-3	-295.177E-12	4.49500E+0	50.4240E-3	-290.213E-12	4.48109E+0	45.9157E-3
-45.0000E-3	-275.501E-12	4.46473E+0	37.0406E-3	-279.127E-12	4.45171E+0	29.5713E-3
-44.4000E-3	-267.387E-12	4.41481E+0	8.77015E-3	-268.846E-12	4.40578E+0	11.1683E-3
-43.8000E-3	-259.670E-12	4.34936E+0	-18.8892E-3	-259.705E-12	4.34995E+0	-336.449E-6
-43.2000E-3	-251.819E-12	4.28671E+0	-12.7086E-3	-251.432E-12	4.29389E+0	3.03145E-3
-42.6000E-3	-244.438E-12	4.23336E+0	19.6311E-3	-243.394E-12	4.24653E+0	21.8896E-3
-42.0000E-3	-231.790E-12	4.20318E+0	51.3431E-3	-235.101E-12	4.21236E+0	48.3451E-3
-41.4000E-3	-231.012E-12	4.18624E+0	79.6989E-3	-227.464E-12	4.19003E+0	72.0332E-3
-40.8000E-3	-216.276E-12	4.17380E+0	95.6608E-3	-219.955E-12	4.17495E+0	87.2718E-3
-40.2000E-3	-215.373E-12	4.16353E+0	97.3795E-3	-212.088E-12	4.16160E+0	94.1573E-3
-39.6000E-3	-204.413E-12	4.15010E+0	95.0307E-3	-203.239E-12	4.14522E+0	95.1030E-3
-39.0000E-3	-191.618E-12	4.13017E+0	94.8251E-3	-194.366E-12	4.12287E+0	93.0861E-3
-38.4000E-3	-185.930E-12	4.09645E+0	90.5107E-3	-185.170E-12	4.09456E+0	90.0015E-3
-37.8000E-3	-177.422E-12	4.06064E+0	85.4009E-3	-177.072E-12	4.06294E+0	86.6006E-3
-37.2000E-3	-166.618E-12	4.03027E+0	83.1155E-3	-169.972E-12	4.03147E+0	82.5565E-3
-36.6000E-3	-164.956E-12	4.00016E+0	80.7375E-3	-163.477E-12	4.00185E+0	77.5249E-3
-36.0000E-3	-157.978E-12	3.97424E+0	70.9115E-3	-157.088E-12	3.97239E+0	71.5995E-3
-35.4000E-3	-150.503E-12	3.94592E+0	63.0813E-3	-149.678E-12	3.93969E+0	66.9117E-3
