Experiment	bias spectroscopy	
Date	16.08.2023 18:19:41	
User		
X (m)	-640.05E-9	
Y (m)	647.24E-9	
Z (m)	-125.782E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-535.444E-12	5.34290E+0	-168.425E-3	-535.444E-12	5.34290E+0	-168.425E-3
-59.4000E-3	-520.622E-12	5.44908E+0	-126.411E-3	-526.702E-12	5.40574E+0	-124.788E-3
-58.8000E-3	-524.334E-12	5.47455E+0	-68.0021E-3	-517.022E-12	5.44172E+0	-96.7976E-3
-58.2000E-3	-506.171E-12	5.44429E+0	-62.5619E-3	-505.942E-12	5.44604E+0	-100.380E-3
-57.6000E-3	-494.074E-12	5.43026E+0	-113.229E-3	-495.049E-12	5.43123E+0	-144.356E-3
-57.0000E-3	-476.828E-12	5.42078E+0	-218.490E-3	-483.919E-12	5.40689E+0	-210.202E-3
-56.4000E-3	-483.438E-12	5.38501E+0	-321.540E-3	-474.926E-12	5.37176E+0	-254.904E-3
-55.8000E-3	-460.459E-12	5.32860E+0	-304.902E-3	-466.508E-12	5.32296E+0	-242.752E-3
-55.2000E-3	-459.245E-12	5.26490E+0	-186.686E-3	-457.905E-12	5.26873E+0	-172.777E-3
-54.6000E-3	-452.166E-12	5.20138E+0	-49.9719E-3	-446.910E-12	5.22091E+0	-77.9708E-3
-54.0000E-3	-435.469E-12	5.17868E+0	33.5250E-3	-436.425E-12	5.18114E+0	3.52106E-3
-53.4000E-3	-417.181E-12	5.16256E+0	66.9641E-3	-426.501E-12	5.13943E+0	55.9284E-3
-52.8000E-3	-423.615E-12	5.10055E+0	91.1040E-3	-417.086E-12	5.08509E+0	83.7467E-3
-52.2000E-3	-413.293E-12	5.01378E+0	104.792E-3	-406.852E-12	5.01847E+0	92.3238E-3
-51.6000E-3	-388.781E-12	4.93640E+0	104.946E-3	-394.758E-12	4.95321E+0	78.3004E-3
-51.0000E-3	-381.784E-12	4.88710E+0	59.6541E-3	-382.212E-12	4.90622E+0	40.2061E-3
-50.4000E-3	-370.378E-12	4.86334E+0	-23.5406E-3	-370.934E-12	4.88506E+0	-11.4452E-3
-49.8000E-3	-363.440E-12	4.87754E+0	-79.3462E-3	-360.196E-12	4.88470E+0	-57.6151E-3
-49.2000E-3	-347.495E-12	4.90433E+0	-101.728E-3	-351.331E-12	4.88536E+0	-81.5964E-3
-48.6000E-3	-335.126E-12	4.90545E+0	-94.5616E-3	-344.139E-12	4.86307E+0	-79.4211E-3
-48.0000E-3	-351.380E-12	4.82988E+0	-62.2451E-3	-338.640E-12	4.80424E+0	-59.6887E-3
-47.4000E-3	-326.899E-12	4.71632E+0	-27.4774E-3	-332.791E-12	4.71452E+0	-36.7379E-3
-46.8000E-3	-327.447E-12	4.60632E+0	-5.06604E-3	-326.187E-12	4.61479E+0	-25.5664E-3
-46.2000E-3	-318.432E-12	4.50357E+0	-17.1376E-3	-316.580E-12	4.53087E+0	-35.0145E-3
-45.6000E-3	-312.477E-12	4.44322E+0	-58.4117E-3	-306.035E-12	4.47960E+0	-61.7887E-3
-45.0000E-3	-286.904E-12	4.44545E+0	-105.015E-3	-294.307E-12	4.46362E+0	-94.5257E-3
-44.4000E-3	-281.368E-12	4.47331E+0	-130.707E-3	-283.510E-12	4.47353E+0	-118.749E-3
-43.8000E-3	-279.236E-12	4.49573E+0	-143.258E-3	-272.968E-12	4.49207E+0	-124.278E-3
-43.2000E-3	-262.227E-12	4.51689E+0	-123.770E-3	-262.842E-12	4.50282E+0	-109.928E-3
-42.6000E-3	-246.953E-12	4.51589E+0	-79.4165E-3	-252.302E-12	4.49573E+0	-83.0329E-3
-42.0000E-3	-244.916E-12	4.48138E+0	-45.5542E-3	-242.400E-12	4.46664E+0	-55.5016E-3
-41.4000E-3	-234.535E-12	4.42648E+0	-25.7407E-3	-234.476E-12	4.41598E+0	-38.2277E-3
-40.8000E-3	-222.744E-12	4.35713E+0	-26.6496E-3	-226.464E-12	4.34970E+0	-33.5807E-3
-40.2000E-3	-224.577E-12	4.27371E+0	-39.9824E-3	-218.449E-12	4.27768E+0	-33.4129E-3
-39.6000E-3	-205.028E-12	4.19619E+0	-43.4930E-3	-210.467E-12	4.21322E+0	-27.0044E-3
-39.0000E-3	-205.022E-12	4.14400E+0	-16.2053E-3	-202.372E-12	4.16772E+0	-7.16903E-3
-38.4000E-3	-194.627E-12	4.13410E+0	22.0743E-3	-193.261E-12	4.14249E+0	25.3330E-3
-37.8000E-3	-183.737E-12	4.13710E+0	65.1972E-3	-184.448E-12	4.12585E+0	63.0651E-3
-37.2000E-3	-173.042E-12	4.11979E+0	106.561E-3	-175.566E-12	4.10323E+0	96.1197E-3
-36.6000E-3	-168.403E-12	4.07243E+0	131.236E-3	-167.589E-12	4.06770E+0	115.902E-3
-36.0000E-3	-161.228E-12	4.02079E+0	132.904E-3	-159.718E-12	4.02334E+0	116.562E-3
-35.4000E-3	-151.150E-12	3.97449E+0	108.705E-3	-151.042E-12	3.97663E+0	100.030E-3
-34.8000E-3	-142.037E-12	3.93332E+0	67.7066E-3	-142.063E-12	3.93047E+0	76.1787E-3
-34.2000E-3	-130.890E-12	3.88482E+0	44.0742E-3	-133.629E-12	3.88257E+0	57.0678E-3
-33.6000E-3	-127.387E-12	3.83585E+0	41.5896E-3	-126.188E-12	3.82907E+0	49.3914E-3
-33.0000E-3	-118.970E-12	3.77596E+0	50.9956E-3	-119.835E-12	3.76615E+0	51.3719E-3
-32.4000E-3	-112.408E-12	3.70081E+0	60.1446E-3	-113.952E-12	3.69321E+0	55.7380E-3
-31.8000E-3	-110.866E-12	3.61155E+0	61.8296E-3	-107.429E-12	3.61496E+0	57.3636E-3
-31.2000E-3	-100.627E-12	3.52758E+0	55.0514E-3	-100.262E-12	3.53781E+0	54.6561E-3
-30.6000E-3	-90.4083E-12	3.46649E+0	50.5993E-3	-92.9127E-12	3.46267E+0	48.6193E-3
-30.0000E-3	-85.5338E-12	3.39746E+0	41.4953E-3	-85.9601E-12	3.38407E+0	41.3432E-3
-29.4000E-3	-81.0560E-12	3.30403E+0	31.4916E-3	-79.8146E-12	3.29576E+0	35.6788E-3
-28.8000E-3	-73.4164E-12	3.19917E+0	28.4823E-3	-74.1999E-12	3.19680E+0	33.6777E-3
-28.2000E-3	-67.2839E-12	3.09172E+0	35.0617E-3	-68.7164E-12	3.09212E+0	35.8274E-3
-27.6000E-3	-65.1226E-12	2.98512E+0	41.6803E-3	-63.4420E-12	2.98651E+0	40.3870E-3
-27.0000E-3	-57.9286E-12	2.88121E+0	45.4036E-3	-58.4281E-12	2.88010E+0	45.5645E-3
-26.4000E-3	-52.4383E-12	2.77786E+0	49.4296E-3	-53.5871E-12	2.76973E+0	50.6316E-3
-25.8000E-3	-49.4386E-12	2.65960E+0	56.5455E-3	-48.7851E-12	2.65237E+0	55.8154E-3
-25.2000E-3	-44.7663E-12	2.52938E+0	61.3981E-3	-44.3489E-12	2.52770E+0	60.8456E-3
-24.6000E-3	-38.6393E-12	2.39860E+0	65.9424E-3	-40.0142E-12	2.39777E+0	64.9094E-3
-24.0000E-3	-36.4376E-12	2.26706E+0	69.0729E-3	-36.1519E-12	2.26531E+0	67.5063E-3
-23.4000E-3	-31.8388E-12	2.13176E+0	69.0850E-3	-32.6792E-12	2.13192E+0	68.5507E-3
-22.8000E-3	-30.6263E-12	1.99705E+0	69.3245E-3	-29.5906E-12	1.99905E+0	68.0318E-3
-22.2000E-3	-25.3928E-12	1.86508E+0	66.9628E-3	-26.6006E-12	1.86893E+0	65.9946E-3
-21.6000E-3	-24.0553E-12	1.73912E+0	63.5106E-3	-23.8676E-12	1.74384E+0	62.6605E-3
-21.0000E-3	-21.5119E-12	1.62017E+0	58.4816E-3	-21.2998E-12	1.62529E+0	58.4055E-3
-20.4000E-3	-18.3567E-12	1.50857E+0	53.4249E-3	-19.0932E-12	1.51444E+0	54.5948E-3
