Experiment	bias spectroscopy	
Date	16.08.2023 18:23:24	
User		
X (m)	-623.622E-9	
Y (m)	656.614E-9	
Z (m)	-125.791E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	25E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Lock In X (V)	Lock In Y (V)	Current (A) [filt]	Lock In X (V) [filt]	Lock In Y (V) [filt]
-60.0000E-3	-497.648E-12	4.87362E+0	-124.850E-3	-497.648E-12	4.87362E+0	-124.850E-3
-59.4000E-3	-493.481E-12	4.81633E+0	-33.1921E-3	-486.798E-12	4.82685E+0	-45.9868E-3
-58.8000E-3	-470.483E-12	4.78004E+0	34.6554E-3	-476.272E-12	4.78717E+0	21.9156E-3
-58.2000E-3	-465.188E-12	4.75149E+0	85.9897E-3	-465.350E-12	4.75927E+0	72.6364E-3
-57.6000E-3	-457.667E-12	4.73396E+0	115.069E-3	-454.565E-12	4.74114E+0	101.920E-3
-57.0000E-3	-443.056E-12	4.73296E+0	132.742E-3	-446.285E-12	4.72458E+0	103.639E-3
-56.4000E-3	-432.088E-12	4.71716E+0	101.919E-3	-439.536E-12	4.70080E+0	74.3670E-3
-55.8000E-3	-442.124E-12	4.67074E+0	21.6253E-3	-433.933E-12	4.66607E+0	19.4473E-3
-55.2000E-3	-428.726E-12	4.61867E+0	-53.1557E-3	-426.774E-12	4.62663E+0	-50.7232E-3
-54.6000E-3	-417.480E-12	4.57869E+0	-120.660E-3	-417.587E-12	4.59626E+0	-124.924E-3
-54.0000E-3	-403.331E-12	4.56584E+0	-201.858E-3	-405.886E-12	4.58138E+0	-192.984E-3
-53.4000E-3	-399.943E-12	4.58652E+0	-272.124E-3	-394.925E-12	4.57288E+0	-240.496E-3
-52.8000E-3	-378.024E-12	4.58117E+0	-294.255E-3	-384.217E-12	4.55468E+0	-249.951E-3
-52.2000E-3	-376.713E-12	4.52731E+0	-242.346E-3	-374.178E-12	4.51651E+0	-214.596E-3
-51.6000E-3	-364.531E-12	4.46208E+0	-146.775E-3	-364.871E-12	4.45989E+0	-145.182E-3
-51.0000E-3	-353.805E-12	4.39545E+0	-56.5708E-3	-356.960E-12	4.39792E+0	-62.6484E-3
-50.4000E-3	-351.000E-12	4.32630E+0	26.3249E-3	-349.021E-12	4.34359E+0	13.6838E-3
-49.8000E-3	-342.371E-12	4.29105E+0	90.2674E-3	-341.208E-12	4.30532E+0	71.8749E-3
-49.2000E-3	-332.081E-12	4.27349E+0	126.382E-3	-333.001E-12	4.28668E+0	104.725E-3
-48.6000E-3	-324.039E-12	4.27696E+0	131.362E-3	-324.291E-12	4.28686E+0	109.428E-3
-48.0000E-3	-316.638E-12	4.29426E+0	98.4696E-3	-316.103E-12	4.29794E+0	89.1725E-3
-47.4000E-3	-306.605E-12	4.32219E+0	56.2721E-3	-307.713E-12	4.30900E+0	54.1361E-3
-46.8000E-3	-301.980E-12	4.32548E+0	7.02615E-3	-299.694E-12	4.30862E+0	18.1021E-3
-46.2000E-3	-287.642E-12	4.30147E+0	-23.0187E-3	-291.192E-12	4.29156E+0	-5.95093E-3
-45.6000E-3	-287.416E-12	4.26356E+0	-25.9108E-3	-282.205E-12	4.26137E+0	-11.1209E-3
-45.0000E-3	-270.585E-12	4.22149E+0	-6.99656E-3	-272.407E-12	4.22612E+0	1.20203E-3
-44.4000E-3	-261.352E-12	4.19083E+0	27.3911E-3	-263.498E-12	4.19102E+0	21.3669E-3
-43.8000E-3	-253.752E-12	4.15882E+0	49.6643E-3	-254.436E-12	4.15782E+0	36.5813E-3
